chain number;generation number;chain type;learner type;number of correct answers in test 1;words not in the bottleneck;participant sex;participant age
1;0;l0;;;;;
1;1;l0;l1;16;;F;27
1;2;l0;l1;16;;M;21
1;3;l0;l1;16;;M;25
1;4;l0;l1;15;;M;20
1;5;l0;l1;15;;M;22
1;6;l0;l1;12;;M;30
1;7;l0;l1;15;;F;24
1;8;l0;l1;16;;M;35
1;9;l0;l1;16;;M;37
1;10;l0;l1;16;;M;24
2;0;l0;;;;;
2;1;l0;l1;15;;M;21
2;2;l0;l1;16;;F;17
2;3;l0;l1;16;;M;46
2;4;l0;l1;16;;M;27
2;5;l0;l1;16;;M;35
2;6;l0;l1;14;;M;47
2;7;l0;l1;14;;M;33
2;8;l0;l1;15;;F;38
2;9;l0;l1;14;;M;38
2;10;l0;l1;14;;M;35
3;0;l0;;;;;
3;1;l0;l1;16;;M;32
3;2;l0;l1;15;;M;22
3;3;l0;l1;14;;F;44
3;4;l0;l1;16;;F;20
3;5;l0;l1;15;;M;56
3;6;l0;l1;14;;M;30
3;7;l0;l1;15;;F;36
3;8;l0;l1;16;;M;29
3;9;l0;l1;14;;M;28
3;10;l0;l1;15;;M;37
4;0;l0;;;;;
4;1;l0;l1;15;;F;31
4;2;l0;l1;16;;M;41
4;3;l0;l1;15;;M;24
4;4;l0;l1;14;;M;37
4;5;l0;l1;13;;M;44
4;6;l0;l1;14;;F;23
4;7;l0;l1;15;;M;25
4;8;l0;l1;16;;M;18
4;9;l0;l1;12;;F;30
4;10;l0;l1;13;;M;16
5;0;l0;;;;;
5;1;l0;l1;16;;M;27
5;2;l0;l1;16;;F;34
5;3;l0;l1;14;;M;22
5;4;l0;l1;15;;M;36
5;5;l0;l1;16;;M;24
5;6;l0;l1;16;;M;28
5;7;l0;l1;15;;F;20
5;8;l0;l1;16;;M;33
5;9;l0;l1;14;;M;32
5;10;l0;l1;16;;F;32
6;0;l0;;;;;
6;1;l0;l1;16;;M;33
6;2;l0;l1;16;;M;34
6;3;l0;l1;15;;M;18
6;4;l0;l1;16;;M;41
6;5;l0;l1;15;;M;34
6;6;l0;l1;16;;F;18
6;7;l0;l1;15;;M;38
6;8;l0;l1;16;;M;39
6;9;l0;l1;14;;F;28
6;10;l0;l1;16;;M;29
7;0;l0;;;;;
7;1;l0;l1;16;;F;23
7;2;l0;l1;15;;M;25
7;3;l0;l1;15;;F;21
7;4;l0;l1;16;;M;35
7;5;l0;l1;16;;F;16
7;6;l0;l1;14;;M;42
7;7;l0;l1;15;;M;27
7;8;l0;l1;14;;M;42
7;9;l0;l1;14;;M;33
7;10;l0;l1;14;;F;55
8;0;l0;;;;;
8;1;l0;l1;15;;M;29
8;2;l0;l1;16;;M;37
8;3;l0;l1;16;;F;20
8;4;l0;l1;16;;M;46
8;5;l0;l1;16;;F;32
8;6;l0;l1;14;;F;19
8;7;l0;l1;14;;M;40
8;8;l0;l1;14;;M;33
8;9;l0;l1;16;;M;23
8;10;l0;l1;15;;M;29
9;0;l0;;;;;
9;1;l0;l1;16;;F;19
9;2;l0;l1;13;;F;19
9;3;l0;l1;15;;F;19
9;4;l0;l1;16;;F;32
9;5;l0;l1;16;;F;29
9;6;l0;l1;16;;F;30
9;7;l0;l1;16;;F;27
9;8;l0;l1;16;;F;29
9;9;l0;l1;16;;M;35
9;10;l0;l1;16;;F;25
10;0;l0;;;;;
10;1;l0;l1;15;;M;52
10;2;l0;l1;16;;M;49
10;3;l0;l1;16;;M;27
10;4;l0;l1;14;;M;32
10;5;l0;l1;15;;M;23
10;6;l0;l1;16;;M;34
10;7;l0;l1;16;;M;19
10;8;l0;l1;16;;F;21
10;9;l0;l1;16;;F;27
10;10;l0;l1;16;;M;42
11;0;l0;;;;;
11;1;l0;l1;16;;M;17
11;2;l0;l1;15;;M;47
11;3;l0;l1;13;;M;43
11;4;l0;l1;16;;M;16
11;5;l0;l1;16;;F;31
11;6;l0;l1;16;;M;39
11;7;l0;l1;16;;F;20
11;8;l0;l1;16;;F;18
11;9;l0;l1;14;;M;29
11;10;l0;l1;15;;F;21
12;0;l0;;;;;
12;1;l0;l1;15;;M;20
12;2;l0;l1;16;;M;16
12;3;l0;l1;13;;M;23
12;4;l0;l1;15;;M;27
12;5;l0;l1;15;;M;31
12;6;l0;l1;16;;M;37
12;7;l0;l1;16;;M;32
12;8;l0;l1;13;;M;28
12;9;l0;l1;13;;F;29
12;10;l0;l1;15;;M;16
13;0;l0;;;;;
13;1;l0;l1;15;;M;37
13;2;l0;l1;16;;M;24
13;3;l0;l1;16;;M;37
13;4;l0;l1;16;;F;16
13;5;l0;l1;15;;M;42
13;6;l0;l1;16;;M;33
13;7;l0;l1;16;;M;26
13;8;l0;l1;16;;M;35
13;9;l0;l1;15;;M;32
13;10;l0;l1;15;;F;26
14;0;l0;;;;;
14;1;l0;l1;15;;F;27
14;2;l0;l1;16;;M;24
14;3;l0;l1;14;;M;26
14;4;l0;l1;14;;M;30
14;5;l0;l1;16;;F;31
14;6;l0;l1;13;;M;46
14;7;l0;l1;14;;F;33
14;8;l0;l1;13;;M;25
14;9;l0;l1;13;;M;21
14;10;l0;l1;15;;M;17
15;0;l0;;;;;
15;1;l0;l1;14;;F;30
15;2;l0;l1;16;;M;34
15;3;l0;l1;14;;M;29
15;4;l0;l1;16;;M;20
15;5;l0;l1;15;;M;32
15;6;l0;l1;16;;F;36
15;7;l0;l1;16;;M;19
15;8;l0;l1;15;;M;32
15;9;l0;l1;15;;F;27
15;10;l0;l1;14;;M;30
16;0;l2;;;;;
16;1;l2;l1;16;;M;31
16;2;l2;l2;13;;M;30
16;3;l2;l2;15;;M;32
16;4;l2;l2;13;;M;27
16;5;l2;l1;13;;F;16
16;6;l2;l1;15;;F;24
16;7;l2;l1;16;;M;39
16;8;l2;l1;15;;M;40
16;9;l2;l1;15;;F;26
16;10;l2;l1;16;;F;21
17;0;l2;;;;;
17;1;l2;l1;15;;F;44
17;2;l2;l2;15;;M;32
17;3;l2;l2;6;;F;16
17;4;l2;l2;10;;M;20
17;5;l2;l1;15;;F;19
17;6;l2;l1;15;;M;41
17;7;l2;l1;9;;M;23
17;8;l2;l1;14;;M;25
17;9;l2;l1;11;;F;34
17;10;l2;l1;7;;M;19
18;0;l2;;;;;
18;1;l2;l1;16;;M;43
18;2;l2;l2;6;;M;36
18;3;l2;l2;10;;M;20
18;4;l2;l2;12;;M;40
18;5;l2;l1;11;;F;17
18;6;l2;l1;16;;F;19
18;7;l2;l1;9;;M;31
18;8;l2;l1;16;;M;22
18;9;l2;l1;13;;M;58
18;10;l2;l1;16;;M;31
