chain;generation;mvalue
16;0;0.0
16;1;1.0
16;2;0.813
16;3;0.938
16;4;0.813
16;5;0.813
16;6;0.938
16;7;1.0
16;8;0.938
16;9;0.938
16;10;1.0
17;0;0.0
17;1;0.938
17;2;0.938
17;3;0.375
17;4;0.625
17;5;0.938
17;6;0.938
17;7;0.563
17;8;0.875
17;9;0.688
17;10;0.438
18;0;0.0
18;1;1.0
18;2;0.375
18;3;0.625
18;4;0.75
18;5;0.688
18;6;1.0
18;7;0.563
18;8;1.0
18;9;0.813
18;10;1.0
19;0;0.0
19;1;1.0
19;2;1.0
19;3;0.875
19;4;1.0
19;5;1.0
19;6;0.938
19;7;0.813
19;8;0.875
19;9;1.0
19;10;1.0
20;0;0.0
20;1;0.938
20;2;1.0
20;3;1.0
20;4;1.0
20;5;1.0
20;6;0.75
20;7;0.938
20;8;1.0
20;9;0.875
20;10;0.938
21;0;0.0
21;1;0.938
21;2;0.75
21;3;0.875
21;4;1.0
21;5;1.0
21;6;0.75
21;7;0.875
21;8;0.875
21;9;0.875
21;10;0.938
22;0;0.0
22;1;0.938
22;2;0.875
22;3;0.563
22;4;0.688
22;5;1.0
22;6;1.0
22;7;1.0
22;8;0.938
22;9;0.625
22;10;0.875
23;0;0.0
23;1;1.0
23;2;1.0
23;3;1.0
23;4;1.0
23;5;0.938
23;6;1.0
23;7;0.875
23;8;0.938
23;9;0.875
23;10;0.938
24;0;0.0
24;1;1.0
24;2;0.938
24;3;0.875
24;4;0.875
24;5;1.0
24;6;0.875
24;7;1.0
24;8;1.0
24;9;0.938
24;10;0.938
25;0;0.0
25;1;0.813
25;2;0.938
25;3;0.875
25;4;0.688
25;5;0.875
25;6;0.688
25;7;0.938
25;8;1.0
25;9;1.0
25;10;1.0
26;0;0.0
26;1;1.0
26;2;1.0
26;3;1.0
26;4;0.938
26;5;1.0
26;6;1.0
26;7;1.0
26;8;1.0
26;9;1.0
26;10;1.0
27;0;0.0
27;1;1.0
27;2;0.875
27;3;0.875
27;4;1.0
27;5;0.938
27;6;1.0
27;7;1.0
27;8;1.0
27;9;0.813
27;10;0.875
28;0;0.0
28;1;0.938
28;2;0.813
28;3;0.688
28;4;0.875
28;5;1.0
28;6;0.813
28;7;1.0
28;8;1.0
28;9;1.0
28;10;0.938
29;0;0.0
29;1;0.938
29;2;0.875
29;3;0.938
29;4;0.813
29;5;0.75
29;6;0.813
29;7;0.875
29;8;0.938
29;9;0.875
29;10;0.875
30;0;0.0
30;1;1.0
30;2;0.938
30;3;1.0
30;4;0.688
30;5;0.5
30;6;0.625
30;7;0.875
30;8;0.813
30;9;0.813
30;10;0.938
