chain;generation;mvalue
1;0;3.2359263506290326
1;1;3.2359263506290326
1;2;3.2359263506290326
1;3;3.1820058147602137
1;4;3.0972990761574137
1;5;3.0972990761574137
1;6;3.0702970038166524
1;7;3.0837980399870335
1;8;3.0837980399870335
1;9;3.0837980399870335
1;10;3.0837980399870335
2;0;3.2359263506290326
2;1;3.2089660826946234
2;2;3.2359263506290326
2;3;3.2359263506290326
2;4;3.2229074943218805
2;5;3.2229074943218805
2;6;3.19594722638747
2;7;3.19594722638747
2;8;3.19594722638747
2;9;3.3518232255517666
2;10;3.324862957617357
3;0;3.2359263506290326
3;1;3.2359263506290326
3;2;3.2359263506290326
3;3;3.2359263506290326
3;4;3.199331946607913
3;5;3.0694254121192963
3;6;3.1227647178082507
3;7;3.1262145965695023
3;8;3.1299133176846827
3;9;3.0129665265669683
3;10;2.90769109546246
4;0;3.2359263506290326
4;1;3.2089660826946234
4;2;3.155045546825804
4;3;3.1689869584530603
4;4;2.879706048806279
4;5;2.9852281360342516
4;6;3.027880447234184
4;7;3.0413814834045647
4;8;3.027880447234184
4;9;2.811844101310204
4;10;2.910232940673185
5;0;3.2359263506290326
5;1;3.2359263506290326
5;2;3.2359263506290326
5;3;3.2359263506290326
5;4;3.307354922057604
5;5;3.307354922057604
5;6;3.4232517969803373
5;7;3.4232517969803373
5;8;3.2943360657504512
5;9;3.2943360657504512
5;10;3.307354922057604
6;0;3.2359263506290326
6;1;3.2359263506290326
6;2;3.2359263506290326
6;3;3.208966082694623
6;4;3.2359263506290326
6;5;3.2359263506290326
6;6;3.2359263506290326
6;7;3.2359263506290326
6;8;3.2359263506290326
6;9;3.3518232255517657
6;10;3.324862957617356
7;0;3.2359263506290326
7;1;3.2229074943218805
7;2;3.2359263506290334
7;3;3.2359263506290334
7;4;3.2098886380147276
7;5;3.2098886380147276
7;6;3.182928370080318
7;7;3.199513850319966
7;8;3.199513850319966
7;9;3.2098886380147276
7;10;3.2098886380147276
8;0;3.2359263506290326
8;1;3.1858309104375326
8;2;3.0972990761574137
8;3;3.0972990761574137
8;4;3.0693402797809894
8;5;3.0413814834045647
8;6;2.770942421748537
8;7;2.770942421748537
8;8;2.807354922057604
8;9;2.807354922057604
8;10;2.7943360657504517
9;0;3.2359263506290326
9;1;3.2359263506290326
9;2;3.2229074943218796
9;3;3.3518232255517657
9;4;3.3518232255517657
9;5;3.3518232255517657
9;6;3.3518232255517657
9;7;3.3518232255517657
9;8;3.3518232255517657
9;9;3.3518232255517657
9;10;3.378783493486176
10;0;3.2359263506290326
10;1;3.2359263506290326
10;2;3.1820058147602133
10;3;3.2359263506290334
10;4;3.2359263506290334
10;5;3.2359263506290334
10;6;3.09306920777189
10;7;3.09306920777189
10;8;3.09306920777189
10;9;3.09306920777189
10;10;2.937193208607594
11;0;3.2359263506290326
11;1;3.2089660826946234
11;2;3.2089660826946234
11;3;3.1820058147602133
11;4;3.0391486719030705
11;5;3.09306920777189
11;6;3.09306920777189
11;7;3.0800503514647373
11;8;3.0800503514647373
11;9;3.0391486719030705
11;10;3.0391486719030705
12;0;3.2359263506290326
12;1;3.2359263506290326
12;2;3.185830910437532
12;3;3.1479578728872353
12;4;3.1479578728872353
12;5;3.103909910282364
12;6;3.056020968057882
12;7;2.95006375643621
12;8;2.9021748142117283
12;9;3.026986833359287
12;10;2.8536606896881858
13;0;3.2359263506290326
13;1;3.2359263506290326
13;2;3.2359263506290326
13;3;3.164497779200461
13;4;3.164497779200461
13;5;3.2359263506290326
13;6;3.2359263506290326
13;7;3.208966082694623
13;8;3.1820058147602137
13;9;3.2089660826946234
13;10;3.2089660826946234
14;0;3.2359263506290326
14;1;3.1820058147602133
14;2;3.1820058147602133
14;3;2.753434386188785
14;4;2.7693452623695127
14;5;2.7693452623695127
14;6;2.7693452623695127
14;7;2.7693452623695127
14;8;2.7693452623695127
14;9;2.6769447629717744
14;10;3.0261298155959175
15;0;3.2359263506290326
15;1;3.2359263506290326
15;2;3.2359263506290326
15;3;3.1959472263874704
15;4;3.2089660826946234
15;5;3.2089660826946234
15;6;3.1689869584530608
15;7;3.0376827622893843
15;8;2.979097891134805
15;9;3.1808329872054406
15;10;3.1808329872054406
