chain;generation;mvalue
31;0;3.2359263506290326
31;1;3.2359263506290326
31;2;3.2359263506290326
31;3;3.2359263506290326
31;4;3.0670314951575843
31;5;2.9677201004744993
31;6;2.9677201004744993
31;7;2.9232517969803373
31;8;2.8300862380222194
31;9;2.728857990108783
31;10;2.7943360657504517
32;0;3.2359263506290326
32;1;3.2229074943218805
32;2;3.2359263506290326
32;3;3.2359263506290326
32;4;3.2359263506290326
32;5;3.0391486719030705
32;6;3.1619781796795534
32;7;3.0836169753972325
32;8;3.053090083530328
32;9;2.9956029237290127
32;10;3.1820058147602133
33;0;3.2359263506290326
33;1;3.2359263506290326
33;2;3.182005814760214
33;3;3.351823225551766
33;4;3.199331946607913
33;5;2.844106544814538
33;6;2.7493221814795326
33;7;2.7493221814795326
33;8;2.7633424882718507
33;9;2.8010027798611175
33;10;2.7875017436907368
34;0;3.2359263506290326
34;1;3.2359263506290326
34;2;3.2089660826946234
34;3;3.208966082694623
34;4;3.208966082694624
34;5;2.9031056998877167
34;6;2.343762162622482
34;7;2.4606406669627527
34;8;2.697798345803837
34;9;2.3294468445267844
34;10;2.352217001462482
35;0;3.2359263506290326
35;1;3.2359263506290326
35;2;2.8010027798611175
35;3;2.807354922057604
35;4;2.807354922057604
35;5;2.950212064914747
35;6;2.9232517969803378
35;7;2.950212064914747
35;8;2.950212064914747
35;9;2.950212064914747
35;10;3.039148671903071
36;0;3.2359263506290326
36;1;3.2359263506290326
36;2;3.09306920777189
36;3;2.9547012441673464
36;4;2.9232517969803378
36;5;2.9232517969803378
36;6;2.9211921316328406
36;7;2.9211921316328406
36;8;2.921192131632841
36;9;2.889534614141236
36;10;2.5086217800361656
37;0;3.2359263506290326
37;1;3.2359263506290326
37;2;3.2359263506290326
37;3;3.155968102145908
37;4;3.155968102145908
37;5;3.1995138503199656
37;6;3.157872114061108
37;7;3.026986833359287
37;8;3.056020968057882
37;9;2.8692750707107133
37;10;2.7943360657504512
38;0;3.2359263506290326
38;1;3.2359263506290326
38;2;3.2359263506290326
38;3;3.1619781796795543
38;4;3.0391486719030705
38;5;3.06610893983748
38;6;3.09306920777189
38;7;2.95006375643621
38;8;2.773660689688186
38;9;2.773660689688186
38;10;2.6433649698578603
39;0;3.2359263506290326
39;1;3.2359263506290326
39;2;3.2803946541231945
39;3;3.1820058147602137
39;4;3.0388469433288323
39;5;3.125
39;6;3.202819531114783
39;7;3.0900182662886326
39;8;2.8400182662886326
39;9;3.1556390622295662
39;10;3.10845859334435
40;0;3.2359263506290326
40;1;3.2359263506290326
40;2;3.0530900835303276
40;3;3.0661089398374806
40;4;2.991567484591735
40;5;3.0511837984597645
40;6;2.7943360657504512
40;7;2.807354922057604
40;8;2.8010027798611175
40;9;2.8010027798611175
40;10;2.7192945256669794
41;0;3.2359263506290326
41;1;3.2359263506290326
41;2;3.171373150231488
41;3;3.1375375112660513
41;4;3.0216406363433186
41;5;2.9232517969803373
41;6;2.9076910954624604
41;7;2.7875017436907368
41;8;2.753434386188785
41;9;2.7943360657504512
41;10;2.7943360657504512
42;0;3.2359263506290326
42;1;3.2089660826946234
42;2;3.2089660826946234
42;3;3.0391486719030705
42;4;3.09306920777189
42;5;3.0391486719030705
42;6;3.09306920777189
42;7;3.0800503514647373
42;8;3.09306920777189
42;9;3.09306920777189
42;10;3.178439190827718
43;0;3.2359263506290326
43;1;3.19594722638747
43;2;3.155045546825804
43;3;3.2229074943218805
43;4;3.2359263506290334
43;5;2.949150928009266
43;6;2.9277409762329367
43;7;3.0355820479705757
43;8;3.0391486719030705
43;9;3.0261298155959175
43;10;3.0261298155959175
44;0;3.2359263506290326
44;1;3.2089660826946234
44;2;3.2089660826946234
44;3;2.9447415656322606
44;4;2.967720100474499
44;5;2.892724905113432
44;6;2.8198019058289177
44;7;2.924174352300441
44;8;2.9174934105176606
44;9;2.774000707520356
44;10;2.8154107252426988
45;0;3.2359263506290326
45;1;3.2359263506290326
45;2;3.19594722638747
45;3;3.1820058147602133
45;4;2.937193208607594
45;5;3.0661089398374806
45;6;3.0413814834045647
45;7;3.1517988525068454
45;8;2.8010027798611175
45;9;2.7813172094432983
45;10;2.807354922057604
