chain;generation;mvalue
16;0;3.2359263506290326
16;1;3.208966082694623
16;2;3.4946803684089094
16;3;3.2359263506290326
16;4;2.7693452623695127
16;5;2.6769447629717744
16;6;2.6769447629717744
16;7;2.6230242271029556
16;8;2.7943360657504512
16;9;2.8010027798611175
16;10;2.7558442261991316
17;0;3.2359263506290326
17;1;3.2359263506290326
17;2;3.2359263506290326
17;3;3.490601562950723
17;4;3.2575004135020675
17;5;3.155084951819779
17;6;2.681276369602581
17;7;2.339922960314994
17;8;2.339922960314994
17;9;2.2535532089563515
17;10;2.419372148594611
18;0;3.2359263506290326
18;1;3.199331946607913
18;2;2.9241743523004415
18;3;3.1902386511068728
18;4;3.0956007146872726
18;5;3.1492553971684996
18;6;3.1642080475839944
18;7;3.053090083530327
18;8;2.9232517969803373
18;9;2.9232517969803373
18;10;2.9232517969803373
19;0;3.2359263506290326
19;1;3.1820058147602133
19;2;3.171373150231488
19;3;3.2229074943218805
19;4;3.06610893983748
19;5;3.0800503514647373
19;6;3.053090083530327
19;7;2.937193208607594
19;8;2.950212064914747
19;9;2.950212064914747
19;10;2.903035650311616
20;0;3.2359263506290326
20;1;3.199331946607913
20;2;3.2359263506290326
20;3;3.2359263506290326
20;4;3.2359263506290326
20;5;3.2359263506290326
20;6;3.2359263506290326
20;7;3.2089660826946234
20;8;3.1375375112660513
20;9;3.053090083530327
20;10;3.053090083530327
21;0;3.2359263506290326
21;1;3.0355820479705753
21;2;2.9232517969803373
21;3;2.9232517969803373
21;4;2.807354922057604
21;5;2.8010027798611175
21;6;3.069340279780989
21;7;2.9538063731601096
21;8;2.9538063731601096
21;9;2.7813172094432983
21;10;2.7813172094432983
22;0;3.2359263506290326
22;1;3.208966082694623
22;2;2.7943360657504512
22;3;2.7083942101587835
22;4;2.897214084366032
22;5;2.996222929742579
22;6;2.889534614141236
22;7;2.7773627950641693
22;8;2.7633424882718507
22;9;2.7773627950641693
22;10;2.7773627950641693
23;0;3.2359263506290326
23;1;3.351823225551766
23;2;3.351823225551766
23;3;3.44075983254009
23;4;3.3195212983796365
23;5;3.199331946607913
23;6;3.199331946607913
23;7;3.199331946607913
23;8;3.199331946607913
23;9;3.199331946607913
23;10;3.161978179679554
24;0;3.2359263506290326
24;1;3.2359263506290326
24;2;3.2229074943218805
24;3;3.0355820479705753
24;4;2.9232517969803373
24;5;2.9677201004744993
24;6;2.9232517969803373
24;7;2.9232517969803373
24;8;2.9232517969803373
24;9;2.9232517969803373
24;10;2.9232517969803373
25;0;3.2359263506290326
25;1;3.199331946607913
25;2;2.921192131632841
25;3;2.7404155298816324
25;4;2.7214130664659364
25;5;2.6989699094106188
25;6;2.807354922057604
25;7;2.807354922057604
25;8;2.807354922057604
25;9;2.807354922057604
25;10;2.807354922057604
26;0;3.2359263506290326
26;1;3.2359263506290326
26;2;3.199331946607913
26;3;3.199331946607913
26;4;3.2359263506290326
26;5;3.2359263506290326
26;6;3.2359263506290326
26;7;3.2359263506290326
26;8;3.2359263506290326
26;9;3.2359263506290326
26;10;3.2089660826946234
27;0;3.2359263506290326
27;1;3.1959472263874704
27;2;2.937193208607594
27;3;3.0391486719030705
27;4;2.8024761511814753
27;5;2.8024761511814753
27;6;2.7899062209538794
27;7;2.7899062209538794
27;8;2.7899062209538794
27;9;2.770942421748537
27;10;2.770942421748537
28;0;3.2359263506290326
28;1;3.2915625020032118
28;2;3.3832726727387747
28;3;3.182005814760214
28;4;3.026129815595918
28;5;2.9650760318621074
28;6;3.039148671903071
28;7;3.0413814834045643
28;8;3.0413814834045643
28;9;3.0278804472341836
28;10;2.8881545074194097
29;0;3.2359263506290326
29;1;3.311844101310204
29;2;3.253434386188785
29;3;3.06610893983748
29;4;2.7647663604986876
29;5;2.865274538879991
29;6;2.8932333352564163
29;7;2.8198019058289177
29;8;2.8198019058289177
29;9;2.8198019058289177
29;10;2.7859519666549435
30;0;3.2359263506290326
30;1;3.208966082694623
30;2;3.2359263506290326
30;3;3.4677201004744997
30;4;3.06610893983748
30;5;3.2501026694564064
30;6;3.5137847242254345
30;7;3.411602217974671
30;8;3.2877837199410704
30;9;3.3834651896016465
30;10;3.105388542207534
