chain;generation;mvalue
1;1;1.0
1;2;1.0
1;3;0.8973214285714286
1;4;0.9553571428571429
1;5;1.0
1;6;0.9047619047619048
1;7;0.984375
1;8;1.0
1;9;1.0
1;10;1.0
2;1;0.9910714285714286
2;2;0.9910714285714286
2;3;1.0
2;4;0.984375
2;5;1.0
2;6;0.9910714285714286
2;7;1.0
2;8;1.0
2;9;0.9732142857142857
2;10;0.9456845238095238
3;1;1.0
3;2;1.0
3;3;1.0
3;4;0.9732142857142857
3;5;0.9196428571428572
3;6;0.9665178571428571
3;7;0.9449404761904762
3;8;0.9717261904761905
3;9;0.9732142857142857
3;10;0.9642857142857143
4;1;0.9895833333333334
4;2;0.9613095238095238
4;3;0.9203869047619048
4;4;0.9523809523809523
4;5;0.8482142857142857
4;6;0.9419642857142857
4;7;0.96875
4;8;0.9910714285714286
4;9;0.5825892857142857
4;10;0.90625
5;1;1.0
5;2;1.0
5;3;1.0
5;4;0.9910714285714286
5;5;1.0
5;6;0.984375
5;7;1.0
5;8;0.9754464285714286
5;9;1.0
5;10;0.9910714285714286
6;1;1.0
6;2;1.0
6;3;0.9910714285714286
6;4;0.9910714285714286
6;5;1.0
6;6;1.0
6;7;1.0
6;8;1.0
6;9;0.9910714285714286
6;10;0.9910714285714286
7;1;0.96875
7;2;0.9107142857142857
7;3;1.0
7;4;0.96875
7;5;1.0
7;6;0.9613095238095238
7;7;0.9583333333333334
7;8;1.0
7;9;0.96875
7;10;1.0
8;1;0.9642857142857143
8;2;0.9523809523809523
8;3;1.0
8;4;0.9895833333333334
8;5;0.9702380952380952
8;6;0.890625
8;7;1.0
8;8;0.9352678571428572
8;9;1.0
8;10;0.96875
9;1;1.0
9;2;0.9732142857142857
9;3;0.9642857142857143
9;4;1.0
9;5;1.0
9;6;1.0
9;7;1.0
9;8;1.0
9;9;1.0
9;10;0.984375
10;1;1.0
10;2;0.9419642857142857
10;3;0.9821428571428571
10;4;1.0
10;5;1.0
10;6;0.9791666666666666
10;7;1.0
10;8;1.0
10;9;1.0
10;10;0.9285714285714286
11;1;0.9910714285714286
11;2;0.9806547619047619
11;3;0.96875
11;4;0.9642857142857143
11;5;0.9821428571428571
11;6;1.0
11;7;0.9910714285714286
11;8;1.0
11;9;0.9523809523809523
11;10;1.0
12;1;1.0
12;2;0.9598214285714286
12;3;0.9732142857142857
12;4;1.0
12;5;0.90625
12;6;0.9791666666666666
12;7;0.9806547619047619
12;8;0.9910714285714286
12;9;0.9508928571428571
12;10;0.9464285714285714
13;1;1.0
13;2;1.0
13;3;0.9732142857142857
13;4;1.0
13;5;0.9732142857142857
13;6;1.0
13;7;0.9910714285714286
13;8;0.9895833333333334
13;9;0.9910714285714286
13;10;1.0
14;1;0.9017857142857143
14;2;1.0
14;3;0.9047619047619048
14;4;0.96875
14;5;1.0
14;6;1.0
14;7;1.0
14;8;1.0
14;9;0.9300595238095238
14;10;0.9546130952380952
15;1;1.0
15;2;1.0
15;3;0.8675595238095238
15;4;0.9732142857142857
15;5;1.0
15;6;0.9754464285714286
15;7;0.9226190476190477
15;8;0.9553571428571429
15;9;0.9523809523809523
15;10;1.0
