chain;generation;mvalue
31;0;0.25
31;1;0.25
31;2;0.25
31;3;0.25
31;4;0.25
31;5;0.25
31;6;0.25
31;7;0.25
31;8;0.25
31;9;0.3125
31;10;0.25
32;0;0.25
32;1;0.25
32;2;0.25
32;3;0.25
32;4;0.25
32;5;0.3125
32;6;0.25
32;7;0.25
32;8;0.25
32;9;0.25
32;10;0.25
33;0;0.25
33;1;0.25
33;2;0.25
33;3;0.3125
33;4;0.25
33;5;0.25
33;6;0.25
33;7;0.25
33;8;0.25
33;9;0.25
33;10;0.25
34;0;0.25
34;1;0.25
34;2;0.25
34;3;0.25
34;4;0.25
34;5;0.375
34;6;0.1875
34;7;0.1875
34;8;0.1875
34;9;0.1875
34;10;0.1875
35;0;0.25
35;1;0.25
35;2;0.25
35;3;0.25
35;4;0.25
35;5;0.3125
35;6;0.3125
35;7;0.3125
35;8;0.3125
35;9;0.3125
35;10;0.375
36;0;0.25
36;1;0.25
36;2;0.25
36;3;0.3125
36;4;0.3125
36;5;0.3125
36;6;0.3125
36;7;0.3125
36;8;0.3125
36;9;0.3125
36;10;0.25
37;0;0.25
37;1;0.25
37;2;0.25
37;3;0.25
37;4;0.25
37;5;0.3125
37;6;0.25
37;7;0.25
37;8;0.25
37;9;0.25
37;10;0.25
38;0;0.25
38;1;0.25
38;2;0.25
38;3;0.25
38;4;0.3125
38;5;0.3125
38;6;0.3125
38;7;0.25
38;8;0.25
38;9;0.25
38;10;0.25
39;0;0.25
39;1;0.25
39;2;0.25
39;3;0.25
39;4;0.25
39;5;0.25
39;6;0.375
39;7;0.25
39;8;0.25
39;9;0.3125
39;10;0.25
40;0;0.25
40;1;0.25
40;2;0.25
40;3;0.25
40;4;0.25
40;5;0.25
40;6;0.25
40;7;0.25
40;8;0.25
40;9;0.25
40;10;0.25
41;0;0.25
41;1;0.25
41;2;0.25
41;3;0.25
41;4;0.25
41;5;0.25
41;6;0.25
41;7;0.25
41;8;0.25
41;9;0.25
41;10;0.25
42;0;0.25
42;1;0.25
42;2;0.25
42;3;0.25
42;4;0.25
42;5;0.25
42;6;0.25
42;7;0.25
42;8;0.25
42;9;0.25
42;10;0.3125
43;0;0.25
43;1;0.25
43;2;0.25
43;3;0.25
43;4;0.25
43;5;0.25
43;6;0.3125
43;7;0.3125
43;8;0.3125
43;9;0.375
43;10;0.375
44;0;0.25
44;1;0.25
44;2;0.25
44;3;0.25
44;4;0.25
44;5;0.25
44;6;0.25
44;7;0.25
44;8;0.25
44;9;0.25
44;10;0.3125
45;0;0.25
45;1;0.25
45;2;0.375
45;3;0.375
45;4;0.3125
45;5;0.375
45;6;0.375
45;7;0.4375
45;8;0.25
45;9;0.25
45;10;0.25
