chain;generation;mvalue
16;0;0.25
16;1;0.25
16;2;0.375
16;3;0.25
16;4;0.25
16;5;0.25
16;6;0.25
16;7;0.25
16;8;0.25
16;9;0.25
16;10;0.25
17;0;0.25
17;1;0.25
17;2;0.25
17;3;0.5625
17;4;0.5
17;5;0.4375
17;6;0.375
17;7;0.3125
17;8;0.3125
17;9;0.3125
17;10;0.375
18;0;0.25
18;1;0.25
18;2;0.375
18;3;0.4375
18;4;0.4375
18;5;0.4375
18;6;0.4375
18;7;0.375
18;8;0.3125
18;9;0.3125
18;10;0.3125
19;0;0.25
19;1;0.25
19;2;0.25
19;3;0.25
19;4;0.25
19;5;0.25
19;6;0.25
19;7;0.25
19;8;0.25
19;9;0.25
19;10;0.25
20;0;0.25
20;1;0.25
20;2;0.25
20;3;0.25
20;4;0.25
20;5;0.25
20;6;0.25
20;7;0.25
20;8;0.25
20;9;0.25
20;10;0.25
21;0;0.25
21;1;0.25
21;2;0.25
21;3;0.25
21;4;0.25
21;5;0.25
21;6;0.375
21;7;0.3125
21;8;0.3125
21;9;0.25
21;10;0.25
22;0;0.25
22;1;0.25
22;2;0.25
22;3;0.25
22;4;0.25
22;5;0.25
22;6;0.25
22;7;0.25
22;8;0.25
22;9;0.25
22;10;0.25
23;0;0.25
23;1;0.3125
23;2;0.3125
23;3;0.375
23;4;0.3125
23;5;0.25
23;6;0.25
23;7;0.25
23;8;0.25
23;9;0.25
23;10;0.25
24;0;0.25
24;1;0.25
24;2;0.25
24;3;0.25
24;4;0.25
24;5;0.25
24;6;0.25
24;7;0.25
24;8;0.25
24;9;0.25
24;10;0.25
25;0;0.25
25;1;0.25
25;2;0.25
25;3;0.25
25;4;0.25
25;5;0.25
25;6;0.25
25;7;0.25
25;8;0.25
25;9;0.25
25;10;0.25
26;0;0.25
26;1;0.25
26;2;0.25
26;3;0.25
26;4;0.25
26;5;0.25
26;6;0.25
26;7;0.25
26;8;0.25
26;9;0.25
26;10;0.25
27;0;0.25
27;1;0.25
27;2;0.25
27;3;0.3125
27;4;0.25
27;5;0.25
27;6;0.25
27;7;0.25
27;8;0.25
27;9;0.25
27;10;0.25
28;0;0.25
28;1;0.3125
28;2;0.4375
28;3;0.4375
28;4;0.375
28;5;0.375
28;6;0.375
28;7;0.375
28;8;0.375
28;9;0.375
28;10;0.3125
29;0;0.25
29;1;0.3125
29;2;0.3125
29;3;0.3125
29;4;0.25
29;5;0.25
29;6;0.25
29;7;0.25
29;8;0.25
29;9;0.25
29;10;0.25
30;0;0.25
30;1;0.25
30;2;0.25
30;3;0.375
30;4;0.25
30;5;0.375
30;6;0.5625
30;7;0.5625
30;8;0.5625
30;9;0.5625
30;10;0.5
