chain;generation;mvalue
16;0;0.5
16;1;0.5
16;2;0.5
16;3;0.5
16;4;0.47222222222222215
16;5;0.3333333333333333
16;6;0.3333333333333333
16;7;0.3333333333333333
16;8;0.3333333333333333
16;9;0.3611111111111111
16;10;0.3611111111111111
17;0;0.5
17;1;0.5
17;2;0.5
17;3;0.7777777777777777
17;4;0.8333333333333334
17;5;0.611111111111111
17;6;0.25
17;7;0.25
17;8;0.25
17;9;0.25
17;10;0.5833333333333334
18;0;0.5
18;1;0.5555555555555555
18;2;0.25
18;3;0.27777777777777773
18;4;0.25
18;5;0.25
18;6;0.25
18;7;0.25
18;8;0.25
18;9;0.25
18;10;0.25
19;0;0.5
19;1;0.5
19;2;0.5555555555555555
19;3;0.5
19;4;0.4166666666666667
19;5;0.4166666666666667
19;6;0.4166666666666667
19;7;0.3333333333333333
19;8;0.3333333333333333
19;9;0.3333333333333333
19;10;0.38888888888888884
20;0;0.5
20;1;0.5555555555555555
20;2;0.5
20;3;0.5
20;4;0.5
20;5;0.5
20;6;0.5
20;7;0.5
20;8;0.5
20;9;0.4166666666666667
20;10;0.4166666666666667
21;0;0.5
21;1;0.4166666666666667
21;2;0.25
21;3;0.25
21;4;0.25
21;5;0.27777777777777773
21;6;0.27777777777777773
21;7;0.27777777777777773
21;8;0.27777777777777773
21;9;0.25
21;10;0.25
22;0;0.5
22;1;0.5
22;2;0.25
22;3;0.3333333333333333
22;4;0.4166666666666667
22;5;0.3611111111111111
22;6;0.27777777777777773
22;7;0.3333333333333333
22;8;0.4166666666666667
22;9;0.3333333333333333
22;10;0.3333333333333333
23;0;0.5
23;1;0.5
23;2;0.5
23;3;0.5
23;4;0.5555555555555555
23;5;0.5555555555555555
23;6;0.5555555555555555
23;7;0.5555555555555555
23;8;0.5555555555555555
23;9;0.5555555555555555
23;10;0.6666666666666666
24;0;0.5
24;1;0.5
24;2;0.5
24;3;0.5
24;4;0.3333333333333333
24;5;0.4166666666666667
24;6;0.3333333333333333
24;7;0.3333333333333333
24;8;0.3333333333333333
24;9;0.3333333333333333
24;10;0.3333333333333333
25;0;0.5
25;1;0.5555555555555555
25;2;0.3611111111111111
25;3;0.3333333333333333
25;4;0.3333333333333333
25;5;0.27777777777777773
25;6;0.25
25;7;0.25
25;8;0.25
25;9;0.25
25;10;0.25
26;0;0.5
26;1;0.5
26;2;0.5555555555555555
26;3;0.5555555555555555
26;4;0.5
26;5;0.5
26;6;0.5
26;7;0.5
26;8;0.5
26;9;0.5
26;10;0.5
27;0;0.5
27;1;0.5
27;2;0.3333333333333333
27;3;0.3333333333333333
27;4;0.25
27;5;0.25
27;6;0.25
27;7;0.25
27;8;0.25
27;9;0.25
27;10;0.25
28;0;0.5
28;1;0.5555555555555555
28;2;0.4166666666666667
28;3;0.25
28;4;0.3333333333333333
28;5;0.3333333333333333
28;6;0.25
28;7;0.27777777777777773
28;8;0.27777777777777773
28;9;0.3611111111111111
28;10;0.4166666666666667
29;0;0.5
29;1;0.5
29;2;0.4166666666666667
29;3;0.3333333333333333
29;4;0.27777777777777773
29;5;0.5
29;6;0.4166666666666667
29;7;0.3611111111111111
29;8;0.3611111111111111
29;9;0.3611111111111111
29;10;0.3611111111111111
30;0;0.5
30;1;0.5
30;2;0.5
30;3;0.5
30;4;0.4166666666666667
30;5;0.47222222222222215
30;6;0.38888888888888884
30;7;0.4166666666666667
30;8;0.4166666666666667
30;9;0.5
30;10;0.16666666666666666
