chain;generation;mvalue
1;0;0.5
1;1;0.5
1;2;0.5
1;3;0.5
1;4;0.55
1;5;0.55
1;6;0.55
1;7;0.55
1;8;0.55
1;9;0.55
1;10;0.55
2;0;0.5
2;1;0.5
2;2;0.5
2;3;0.5
2;4;0.5
2;5;0.5
2;6;0.5
2;7;0.5
2;8;0.5
2;9;0.5
2;10;0.5
3;0;0.5
3;1;0.5
3;2;0.5
3;3;0.5
3;4;0.55
3;5;0.6
3;6;0.6
3;7;0.55
3;8;0.55
3;9;0.6
3;10;0.55
4;0;0.5
4;1;0.5
4;2;0.5
4;3;0.5
4;4;0.5
4;5;0.5
4;6;0.55
4;7;0.55
4;8;0.55
4;9;0.5
4;10;0.5
5;0;0.5
5;1;0.5
5;2;0.5
5;3;0.5
5;4;0.5833333333333333
5;5;0.5833333333333333
5;6;0.5833333333333333
5;7;0.5833333333333333
5;8;0.5833333333333333
5;9;0.5833333333333333
5;10;0.5833333333333333
6;0;0.5
6;1;0.5
6;2;0.5
6;3;0.5
6;4;0.5
6;5;0.5
6;6;0.5
6;7;0.5
6;8;0.5
6;9;0.5
6;10;0.5
7;0;0.5
7;1;0.5
7;2;0.5
7;3;0.5
7;4;0.5
7;5;0.5
7;6;0.5
7;7;0.5
7;8;0.5
7;9;0.5
7;10;0.5
8;0;0.5
8;1;0.55
8;2;0.55
8;3;0.55
8;4;0.55
8;5;0.55
8;6;0.5
8;7;0.5
8;8;0.5
8;9;0.5
8;10;0.5
9;0;0.5
9;1;0.5
9;2;0.5
9;3;0.5
9;4;0.5
9;5;0.5
9;6;0.5
9;7;0.5
9;8;0.5
9;9;0.5
9;10;0.5
10;0;0.5
10;1;0.5
10;2;0.5
10;3;0.5
10;4;0.5
10;5;0.5
10;6;0.5
10;7;0.5
10;8;0.5
10;9;0.5
10;10;0.55
11;0;0.5
11;1;0.5
11;2;0.5
11;3;0.5
11;4;0.5
11;5;0.5
11;6;0.5
11;7;0.5
11;8;0.5
11;9;0.5
11;10;0.5
12;0;0.5
12;1;0.5
12;2;0.55
12;3;0.6
12;4;0.6
12;5;0.5
12;6;0.5
12;7;0.5
12;8;0.5
12;9;0.5
12;10;0.55
13;0;0.5
13;1;0.5
13;2;0.5
13;3;0.5
13;4;0.5
13;5;0.5
13;6;0.5
13;7;0.5
13;8;0.5
13;9;0.5
13;10;0.5
14;0;0.5
14;1;0.5
14;2;0.5
14;3;0.41666666666666663
14;4;0.45
14;5;0.45
14;6;0.45
14;7;0.45
14;8;0.45
14;9;0.41666666666666663
14;10;0.5
15;0;0.5
15;1;0.5
15;2;0.5
15;3;0.5
15;4;0.5
15;5;0.5
15;6;0.5
15;7;0.55
15;8;0.5
15;9;0.5
15;10;0.5
