chain;generation;mvalue
16;0;0.5
16;1;0.5
16;2;0.5
16;3;0.5
16;4;0.3666666666666667
16;5;0.3333333333333333
16;6;0.3333333333333333
16;7;0.3333333333333333
16;8;0.3333333333333333
16;9;0.3666666666666667
16;10;0.3666666666666667
17;0;0.5
17;1;0.5
17;2;0.5
17;3;0.8
17;4;0.5833333333333333
17;5;0.575
17;6;0.5
17;7;0.375
17;8;0.375
17;9;0.375
17;10;0.29166666666666663
18;0;0.5
18;1;0.55
18;2;0.41666666666666663
18;3;0.55
18;4;0.5
18;5;0.5
18;6;0.5
18;7;0.5
18;8;0.5
18;9;0.5
18;10;0.5
19;0;0.5
19;1;0.5
19;2;0.55
19;3;0.5
19;4;0.5
19;5;0.5
19;6;0.5
19;7;0.5
19;8;0.5
19;9;0.5
19;10;0.55
20;0;0.5
20;1;0.55
20;2;0.5
20;3;0.5
20;4;0.5
20;5;0.5
20;6;0.5
20;7;0.5
20;8;0.5
20;9;0.5
20;10;0.5
21;0;0.5
21;1;0.41666666666666663
21;2;0.41666666666666663
21;3;0.41666666666666663
21;4;0.3333333333333333
21;5;0.3666666666666667
21;6;0.3666666666666667
21;7;0.3666666666666667
21;8;0.3666666666666667
21;9;0.3333333333333333
21;10;0.3333333333333333
22;0;0.5
22;1;0.5
22;2;0.5
22;3;0.41666666666666663
22;4;0.5
22;5;0.55
22;6;0.55
22;7;0.5
22;8;0.5
22;9;0.5
22;10;0.5
23;0;0.5
23;1;0.5
23;2;0.5
23;3;0.5
23;4;0.55
23;5;0.55
23;6;0.55
23;7;0.55
23;8;0.55
23;9;0.55
23;10;0.6
24;0;0.5
24;1;0.5
24;2;0.5
24;3;0.41666666666666663
24;4;0.5
24;5;0.5
24;6;0.5
24;7;0.5
24;8;0.5
24;9;0.5
24;10;0.5
25;0;0.5
25;1;0.55
25;2;0.55
25;3;0.3333333333333333
25;4;0.3333333333333333
25;5;0.3666666666666667
25;6;0.3333333333333333
25;7;0.3333333333333333
25;8;0.3333333333333333
25;9;0.3333333333333333
25;10;0.3333333333333333
26;0;0.5
26;1;0.5
26;2;0.55
26;3;0.55
26;4;0.5
26;5;0.5
26;6;0.5
26;7;0.5
26;8;0.5
26;9;0.5
26;10;0.5
27;0;0.5
27;1;0.5
27;2;0.5
27;3;0.5
27;4;0.5
27;5;0.5
27;6;0.5
27;7;0.5
27;8;0.5
27;9;0.5
27;10;0.5
28;0;0.5
28;1;0.55
28;2;0.41666666666666663
28;3;0.3333333333333333
28;4;0.3333333333333333
28;5;0.3333333333333333
28;6;0.3333333333333333
28;7;0.3666666666666667
28;8;0.3666666666666667
28;9;0.3666666666666667
28;10;0.4
29;0;0.5
29;1;0.5
29;2;0.5
29;3;0.5
29;4;0.55
29;5;0.625
29;6;0.5
29;7;0.55
29;8;0.55
29;9;0.55
29;10;0.55
30;0;0.5
30;1;0.5
30;2;0.5
30;3;0.5
30;4;0.5
30;5;0.55
30;6;0.55
30;7;0.625
30;8;0.6
30;9;0.55
30;10;0.5
