chain;generation;mvalue
31;0;0.5
31;1;0.5
31;2;0.5
31;3;0.5
31;4;0.4166666666666667
31;5;0.3333333333333333
31;6;0.3333333333333333
31;7;0.3333333333333333
31;8;0.4
31;9;0.3
31;10;0.25
32;0;0.5
32;1;0.5
32;2;0.5
32;3;0.5
32;4;0.5
32;5;0.3333333333333333
32;6;0.6
32;7;0.4166666666666667
32;8;0.4166666666666667
32;9;0.4166666666666667
32;10;0.5
33;0;0.5
33;1;0.5
33;2;0.5
33;3;0.5
33;4;0.5454545454545454
33;5;0.4
33;6;0.3
33;7;0.3
33;8;0.3
33;9;0.2727272727272727
33;10;0.2727272727272727
34;0;0.5
34;1;0.5
34;2;0.5
34;3;0.5
34;4;0.5
34;5;0.3333333333333333
34;6;0.2857142857142857
34;7;0.26666666666666666
34;8;0.26666666666666666
34;9;0.2857142857142857
34;10;0.1875
35;0;0.5
35;1;0.5
35;2;0.2727272727272727
35;3;0.25
35;4;0.25
35;5;0.25
35;6;0.25
35;7;0.25
35;8;0.25
35;9;0.25
35;10;0.25
36;0;0.5
36;1;0.5
36;2;0.4166666666666667
36;3;0.25
36;4;0.25
36;5;0.25
36;6;0.2727272727272727
36;7;0.2727272727272727
36;8;0.2727272727272727
36;9;0.2727272727272727
36;10;0.16666666666666666
37;0;0.5
37;1;0.5
37;2;0.5
37;3;0.5
37;4;0.5
37;5;0.4166666666666667
37;6;0.5454545454545454
37;7;0.5
37;8;0.5
37;9;0.4444444444444444
37;10;0.25
38;0;0.5
38;1;0.5
38;2;0.5
38;3;0.6
38;4;0.3333333333333333
38;5;0.3333333333333333
38;6;0.3333333333333333
38;7;0.4
38;8;0.3333333333333333
38;9;0.3333333333333333
38;10;0.3
39;0;0.5
39;1;0.5
39;2;0.5833333333333334
39;3;0.5
39;4;0.38461538461538464
39;5;0.3125
39;6;0.3125
39;7;0.3125
39;8;0.25
39;9;0.3125
39;10;0.3125
40;0;0.5
40;1;0.5
40;2;0.4166666666666667
40;3;0.4166666666666667
40;4;0.45454545454545453
40;5;0.45454545454545453
40;6;0.25
40;7;0.25
40;8;0.2727272727272727
40;9;0.2727272727272727
40;10;0.3
41;0;0.5
41;1;0.5
41;2;0.5454545454545454
41;3;0.5
41;4;0.4166666666666667
41;5;0.3333333333333333
41;6;0.36363636363636365
41;7;0.2727272727272727
41;8;0.25
41;9;0.25
41;10;0.25
42;0;0.5
42;1;0.5
42;2;0.5
42;3;0.4166666666666667
42;4;0.4166666666666667
42;5;0.4166666666666667
42;6;0.4166666666666667
42;7;0.4166666666666667
42;8;0.4166666666666667
42;9;0.4166666666666667
42;10;0.4166666666666667
43;0;0.5
43;1;0.5
43;2;0.5
43;3;0.5
43;4;0.5
43;5;0.36363636363636365
43;6;0.3333333333333333
43;7;0.3333333333333333
43;8;0.3333333333333333
43;9;0.25
43;10;0.25
44;0;0.5
44;1;0.5
44;2;0.5
44;3;0.3076923076923077
44;4;0.3333333333333333
44;5;0.3333333333333333
44;6;0.3333333333333333
44;7;0.3333333333333333
44;8;0.36363636363636365
44;9;0.2727272727272727
44;10;0.25
45;0;0.5
45;1;0.5
45;2;0.3333333333333333
45;3;0.3333333333333333
45;4;0.25
45;5;0.25
45;6;0.2727272727272727
45;7;0.3
45;8;0.2727272727272727
45;9;0.25
45;10;0.25
