chain;generation;mvalue
16;1;0.008928571428571428
16;2;0.052827380952380945
16;3;0.04389880952380952
16;4;0.19910714285714284
16;5;0.10401785714285713
16;6;0.0
16;7;0.017857142857142856
16;8;0.05505952380952381
16;9;0.026785714285714284
16;10;0.017857142857142856
17;1;0.0
17;2;0.0
17;3;0.5543154761904762
17;4;0.43080357142857134
17;5;0.2403273809523809
17;6;0.10714285714285714
17;7;0.22098214285714282
17;8;0.0
17;9;0.03125
17;10;0.4754464285714286
18;1;0.026785714285714284
18;2;0.2014880952380952
18;3;0.6149553571428571
18;4;0.18973214285714285
18;5;0.06919642857142858
18;6;0.04464285714285714
18;7;0.20870535714285712
18;8;0.09598214285714285
18;9;0.0
18;10;0.0
19;1;0.017857142857142856
19;2;0.026785714285714284
19;3;0.05357142857142857
19;4;0.07440476190476189
19;5;0.019345238095238096
19;6;0.04464285714285714
19;7;0.026785714285714284
19;8;0.008928571428571428
19;9;0.0
19;10;0.05654761904761904
20;1;0.026785714285714284
20;2;0.026785714285714284
20;3;0.0
20;4;0.0
20;5;0.0
20;6;0.0
20;7;0.008928571428571428
20;8;0.02976190476190476
20;9;0.07440476190476189
20;10;0.0
21;1;0.06696428571428571
21;2;0.03720238095238095
21;3;0.0
21;4;0.010416666666666666
21;5;0.03125
21;6;0.04910714285714285
21;7;0.10565476190476189
21;8;0.0
21;9;0.06101190476190475
21;10;0.0
22;1;0.008928571428571428
22;2;0.07589285714285712
22;3;0.15327380952380948
22;4;0.150297619047619
22;5;0.05654761904761904
22;6;0.03571428571428571
22;7;0.040178571428571425
22;8;0.020833333333333332
22;9;0.020833333333333332
22;10;0.0
23;1;0.010416666666666666
23;2;0.020833333333333332
23;3;0.03184523809523809
23;4;0.1244047619047619
23;5;0.017857142857142856
23;6;0.0
23;7;0.0
23;8;0.0
23;9;0.0125
23;10;0.039285714285714285
24;1;0.0
24;2;0.03125
24;3;0.06101190476190475
24;4;0.10714285714285712
24;5;0.008928571428571428
24;6;0.017857142857142856
24;7;0.0
24;8;0.0
24;9;0.0
24;10;0.0
25;1;0.03125
25;2;0.10714285714285714
25;3;0.06994047619047619
25;4;0.07886904761904762
25;5;0.08482142857142856
25;6;0.05654761904761904
25;7;0.0
25;8;0.0
25;9;0.0
25;10;0.0
26;1;0.0
26;2;0.026785714285714284
26;3;0.0
26;4;0.026785714285714284
26;5;0.0
26;6;0.0
26;7;0.0
26;8;0.0
26;9;0.0
26;10;0.010416666666666666
27;1;0.019345238095238096
27;2;0.06547619047619047
27;3;0.028273809523809524
27;4;0.046130952380952384
27;5;0.0
27;6;0.03125
27;7;0.0
27;8;0.008928571428571428
27;9;0.06696428571428571
27;10;0.0
28;1;0.21056547619047614
28;2;0.19122023809523805
28;3;0.14732142857142855
28;4;0.07589285714285714
28;5;0.017857142857142856
28;6;0.02827380952380952
28;7;0.026785714285714284
28;8;0.0
28;9;0.017857142857142856
28;10;0.07924107142857142
29;1;0.03645833333333333
29;2;0.09300595238095237
29;3;0.07589285714285714
29;4;0.14583333333333334
29;5;0.10267857142857142
29;6;0.026785714285714284
29;7;0.03571428571428571
29;8;0.0
29;9;0.017857142857142856
29;10;0.03571428571428571
30;1;0.008928571428571428
30;2;0.008928571428571428
30;3;0.1264880952380952
30;4;0.11458333333333331
30;5;0.11309523809523808
30;6;0.14062499999999997
30;7;0.26361607142857146
30;8;0.30022321428571425
30;9;0.11979166666666667
30;10;0.17976190476190476
