chain;generation;mvalue
1;1;0.0
1;2;0.0
1;3;0.10267857142857141
1;4;0.04464285714285714
1;5;0.0
1;6;0.09523809523809523
1;7;0.015625
1;8;0.0
1;9;0.0
1;10;0.0
2;1;0.008928571428571428
2;2;0.008928571428571428
2;3;0.0
2;4;0.015625
2;5;0.0
2;6;0.008928571428571428
2;7;0.0
2;8;0.0
2;9;0.026785714285714284
2;10;0.062127976190476185
3;1;0.0
3;2;0.0
3;3;0.0
3;4;0.026785714285714284
3;5;0.08035714285714285
3;6;0.033482142857142856
3;7;0.05505952380952381
3;8;0.02827380952380952
3;9;0.026785714285714284
3;10;0.03571428571428571
4;1;0.010416666666666666
4;2;0.03869047619047619
4;3;0.07961309523809523
4;4;0.047619047619047616
4;5;0.15178571428571427
4;6;0.05803571428571429
4;7;0.03125
4;8;0.008928571428571428
4;9;0.4174107142857143
4;10;0.09375
5;1;0.0
5;2;0.0
5;3;0.0
5;4;0.008928571428571428
5;5;0.0
5;6;0.015625
5;7;0.0
5;8;0.024553571428571428
5;9;0.0
5;10;0.008928571428571428
6;1;0.0
6;2;0.0
6;3;0.008928571428571428
6;4;0.008928571428571428
6;5;0.0
6;6;0.0125
6;7;0.0125
6;8;0.0
6;9;0.008928571428571428
6;10;0.008928571428571428
7;1;0.03125
7;2;0.08928571428571427
7;3;0.0
7;4;0.03125
7;5;0.0
7;6;0.03869047619047619
7;7;0.041666666666666664
7;8;0.0
7;9;0.03125
7;10;0.0
8;1;0.03571428571428571
8;2;0.047619047619047616
8;3;0.0
8;4;0.010416666666666666
8;5;0.02976190476190476
8;6;0.10937499999999999
8;7;0.0
8;8;0.06473214285714285
8;9;0.0
8;10;0.03125
9;1;0.0
9;2;0.026785714285714284
9;3;0.03571428571428571
9;4;0.0
9;5;0.0
9;6;0.0
9;7;0.0
9;8;0.0
9;9;0.0
9;10;0.015625
10;1;0.0
10;2;0.058035714285714274
10;3;0.017857142857142856
10;4;0.0
10;5;0.0
10;6;0.020833333333333332
10;7;0.0
10;8;0.0
10;9;0.0
10;10;0.07142857142857142
11;1;0.008928571428571428
11;2;0.019345238095238096
11;3;0.03125
11;4;0.03571428571428571
11;5;0.017857142857142856
11;6;0.0
11;7;0.008928571428571428
11;8;0.0
11;9;0.047619047619047616
11;10;0.0
12;1;0.0
12;2;0.040178571428571425
12;3;0.026785714285714284
12;4;0.0
12;5;0.09375
12;6;0.020833333333333332
12;7;0.019345238095238096
12;8;0.008928571428571428
12;9;0.049107142857142856
12;10;0.05357142857142856
13;1;0.0
13;2;0.0
13;3;0.026785714285714284
13;4;0.0
13;5;0.026785714285714284
13;6;0.0
13;7;0.008928571428571428
13;8;0.010416666666666666
13;9;0.008928571428571428
13;10;0.05022321428571429
14;1;0.0982142857142857
14;2;0.0
14;3;0.1026785714285714
14;4;0.040178571428571425
14;5;0.0
14;6;0.0
14;7;0.0
14;8;0.0
14;9;0.06994047619047618
14;10;0.04538690476190475
15;1;0.0
15;2;0.0
15;3;0.13244047619047616
15;4;0.026785714285714284
15;5;0.0
15;6;0.024553571428571428
15;7;0.08988095238095237
15;8;0.057142857142857134
15;9;0.047619047619047616
15;10;0.0
