chain;generation;mvalue
31;1;0.0
31;2;0.0
31;3;0.0
31;4;-0.0357142857142857
31;5;-0.035714285714285754
31;6;0.0
31;7;0.0
31;8;0.02197802197802201
31;9;0.0
31;10;-0.05769230769230771
32;1;0.0
32;2;0.0
32;3;0.0
32;4;0.0
32;5;-0.0357142857142857
32;6;0.06318681318681318
32;7;-0.06318681318681318
32;8;0.0
32;9;0.0
32;10;0.0357142857142857
33;1;0.0
33;2;0.0
33;3;0.0357142857142857
33;4;-0.0224867724867725
33;5;-0.06267806267806264
33;6;-0.03846153846153849
33;7;0.0
33;8;0.0
33;9;-0.009971509971509973
33;10;0.0
34;1;0.0
34;2;0.0
34;3;0.0
34;4;0.0
34;5;-0.03456221198156684
34;6;-0.08924731182795698
34;7;-0.0075268817204301175
34;8;0.0
34;9;0.0075268817204301175
34;10;-0.04583333333333334
35;1;0.0
35;2;-0.0978835978835979
35;3;-0.009259259259259245
35;4;0.0
35;5;0.0357142857142857
35;6;0.0
35;7;0.0
35;8;0.0
35;9;0.0
35;10;0.035714285714285754
36;1;0.0
36;2;-0.0357142857142857
36;3;-0.035714285714285754
36;4;0.0
36;5;0.0
36;6;0.010582010582010581
36;7;0.0
36;8;0.0
36;9;0.0
36;10;-0.082010582010582
37;1;0.0
37;2;0.0
37;3;0.0
37;4;0.0
37;5;0.0
37;6;0.013227513227513199
37;7;-0.024216524216524205
37;8;0.0
37;9;-0.02615384615384614
37;10;-0.07
38;1;0.0
38;2;0.0
38;3;0.027472527472527486
38;4;-0.06318681318681318
38;5;0.0
38;6;0.0
38;7;-0.013736263736263743
38;8;-0.027692307692307683
38;9;0.0
38;10;-0.010769230769230809
39;1;0.0
39;2;0.0357142857142857
39;3;-0.0357142857142857
39;4;-0.046798029556650245
39;5;-0.029094827586206906
39;6;0.0625
39;7;-0.0625
39;8;0.0
39;9;0.03125
39;10;-0.03125
40;1;0.0
40;2;-0.0357142857142857
40;3;0.0
40;4;0.011904761904761862
40;5;0.0
40;6;-0.08333333333333331
40;7;0.0
40;8;0.009259259259259245
40;9;0.0
40;10;0.009971509971509973
41;1;0.0
41;2;0.013227513227513199
41;3;-0.013227513227513199
41;4;-0.0357142857142857
41;5;-0.035714285714285754
41;6;0.010582010582010581
41;7;-0.037037037037037035
41;8;-0.009259259259259245
41;9;0.0
41;10;0.0
42;1;0.0
42;2;0.0
42;3;-0.0357142857142857
42;4;0.0
42;5;0.0
42;6;0.0
42;7;0.0
42;8;0.0
42;9;0.0
42;10;0.0357142857142857
43;1;0.0
43;2;0.0
43;3;0.0
43;4;0.0
43;5;-0.06084656084656087
43;6;0.025132275132275173
43;7;0.0
43;8;0.0
43;9;0.0
43;10;0.0
44;1;0.0
44;2;0.0
44;3;-0.08128078817733991
44;4;0.009852216748768461
44;5;0.0
44;6;0.0
44;7;0.0
44;8;0.010582010582010581
44;9;-0.037037037037037035
44;10;0.026455026455026454
45;1;0.0
45;2;0.0
45;3;0.0
45;4;-0.07142857142857145
45;5;0.035714285714285754
45;6;0.011904761904761862
45;7;0.05128205128205132
45;8;-0.1253561253561254
45;9;-0.009259259259259245
45;10;0.0
