chain;generation;mvalue
16;1;0.0
16;2;0.0714285714285714
16;3;-0.0714285714285714
16;4;-0.0978835978835979
16;5;-0.009259259259259245
16;6;0.0
16;7;0.0
16;8;0.0
16;9;0.009259259259259245
16;10;0.0
17;1;0.0
17;2;0.0
17;3;0.18452380952380948
17;4;-0.06340579710144922
17;5;-0.038260869565217404
17;6;-0.07636363636363636
17;7;-0.09090909090909094
17;8;0.0
17;9;0.0
17;10;0.018939393939393978
18;1;0.013227513227513199
18;2;-0.0489417989417989
18;3;0.023399014778325122
18;4;-0.01149425287356326
18;5;0.0
18;6;0.01149425287356326
18;7;-0.023399014778325122
18;8;-0.035714285714285754
18;9;0.0
18;10;0.0
19;1;0.0
19;2;0.013227513227513199
19;3;-0.013227513227513199
19;4;-0.0357142857142857
19;5;0.0
19;6;0.0
19;7;-0.035714285714285754
19;8;0.0
19;9;0.0
19;10;0.010582010582010581
20;1;0.013227513227513199
20;2;-0.013227513227513199
20;3;0.0
20;4;0.0
20;5;0.0
20;6;0.0
20;7;0.0
20;8;0.0
20;9;-0.0357142857142857
20;10;0.0
21;1;-0.0357142857142857
21;2;-0.035714285714285754
21;3;0.0
21;4;-0.0357142857142857
21;5;0.009259259259259245
21;6;0.07407407407407407
21;7;-0.037037037037037035
21;8;0.0
21;9;-0.04629629629629628
21;10;0.0
22;1;0.0
22;2;-0.10714285714285715
22;3;0.0
22;4;0.0357142857142857
22;5;0.047619047619047616
22;6;-0.037037037037037035
22;7;-0.027065527065527062
22;8;0.0
22;9;0.0
22;10;0.0
23;1;0.0357142857142857
23;2;0.0
23;3;0.0357142857142857
23;4;-0.021164021164021163
23;5;-0.037037037037037035
23;6;0.0
23;7;0.0
23;8;0.0
23;9;0.0
23;10;0.014245014245014287
24;1;0.0
24;2;0.0
24;3;-0.0357142857142857
24;4;-0.035714285714285754
24;5;0.0
24;6;0.0
24;7;0.0
24;8;0.0
24;9;0.0
24;10;0.0
25;1;0.013227513227513199
25;2;-0.07407407407407407
25;3;-0.04629629629629628
25;4;0.0
25;5;0.009259259259259245
25;6;-0.009259259259259245
25;7;0.0
25;8;0.0
25;9;0.0
25;10;0.0
26;1;0.0
26;2;0.013227513227513199
26;3;0.0
26;4;-0.013227513227513199
26;5;0.0
26;6;0.0
26;7;0.0
26;8;0.0
26;9;0.0
26;10;0.0
27;1;0.0
27;2;-0.07142857142857145
27;3;0.035714285714285754
27;4;-0.08004926108374386
27;5;0.0
27;6;0.0
27;7;0.0
27;8;0.0
27;9;0.008620689655172403
27;10;0.0
28;1;0.050264550264550234
28;2;0.021164021164021163
28;3;-0.0714285714285714
28;4;-0.0357142857142857
28;5;0.0
28;6;0.0
28;7;0.011904761904761862
28;8;0.0
28;9;0.0
28;10;-0.025641025641025605
29;1;0.0357142857142857
29;2;0.0
29;3;-0.0714285714285714
29;4;-0.08004926108374386
29;5;0.05491698595146868
29;6;0.0
29;7;-0.010582010582010581
29;8;0.0
29;9;0.0
29;10;0.010582010582010581
30;1;0.0
30;2;0.0
30;3;0.0714285714285714
30;4;-0.1071428571428571
30;5;0.08597883597883593
30;6;0.07407407407407407
30;7;-0.01994301994301989
30;8;0.0
30;9;0.018461538461538418
30;10;-0.0633333333333333
