chain;generation;mvalue
1;1;0.0
1;2;0.0
1;3;0.0
1;4;0.013227513227513199
1;5;0.0
1;6;-0.037037037037037035
1;7;0.0
1;8;0.0
1;9;0.0
1;10;0.0
2;1;0.0
2;2;0.0
2;3;0.0
2;4;0.0
2;5;0.0
2;6;0.0
2;7;0.0
2;8;0.0
2;9;0.0357142857142857
2;10;0.0
3;1;0.0
3;2;0.0
3;3;0.0
3;4;0.013227513227513199
3;5;0.014245014245014287
3;6;0.0
3;7;-0.014245014245014287
3;8;0.0
3;9;-0.024216524216524205
3;10;-0.049857549857549865
4;1;0.0
4;2;0.0
4;3;0.0
4;4;-0.07142857142857145
4;5;0.035714285714285754
4;6;0.011904761904761862
4;7;0.0
4;8;0.0
4;9;-0.047619047619047616
4;10;0.035714285714285754
5;1;0.0
5;2;0.0
5;3;0.0
5;4;0.0357142857142857
5;5;0.0
5;6;0.0357142857142857
5;7;0.0
5;8;-0.0357142857142857
5;9;0.0
5;10;0.0
6;1;0.0
6;2;0.0
6;3;0.0
6;4;0.0
6;5;0.0
6;6;0.0
6;7;0.0
6;8;0.0
6;9;0.0357142857142857
6;10;0.0
7;1;0.0
7;2;0.0
7;3;0.0
7;4;0.0
7;5;0.0
7;6;0.0
7;7;0.0
7;8;0.0
7;9;0.0
7;10;0.0
8;1;0.013227513227513199
8;2;-0.037037037037037035
8;3;0.0
8;4;0.0
8;5;0.0
8;6;-0.08333333333333331
8;7;0.0
8;8;0.0
8;9;0.0
8;10;0.0
9;1;0.0
9;2;0.0
9;3;0.0357142857142857
9;4;0.0
9;5;0.0
9;6;0.0
9;7;0.0
9;8;0.0
9;9;0.0
9;10;0.0
10;1;0.0
10;2;0.0
10;3;0.0
10;4;0.0
10;5;0.0
10;6;-0.0357142857142857
10;7;0.0
10;8;0.0
10;9;0.0
10;10;-0.035714285714285754
11;1;0.0
11;2;0.0
11;3;0.0
11;4;-0.0357142857142857
11;5;0.0
11;6;0.0
11;7;0.0
11;8;0.0
11;9;0.0
11;10;0.0
12;1;0.0
12;2;0.013227513227513199
12;3;0.014245014245014287
12;4;0.0
12;5;0.0
12;6;-0.03846153846153849
12;7;-0.038461538461538436
12;8;0.0
12;9;0.038461538461538436
12;10;-0.02615384615384614
13;1;0.0
13;2;0.0
13;3;0.0
13;4;0.0
13;5;0.0
13;6;0.0
13;7;0.0
13;8;0.0
13;9;0.0
13;10;0.0
14;1;0.0
14;2;0.0
14;3;-0.10714285714285715
14;4;0.009259259259259245
14;5;0.0
14;6;0.0
14;7;0.0
14;8;0.0
14;9;-0.009259259259259245
14;10;0.07142857142857145
15;1;0.0
15;2;0.0
15;3;0.0
15;4;0.0
15;5;0.0
15;6;0.0
15;7;0.013227513227513199
15;8;-0.024216524216524205
15;9;0.03846153846153849
15;10;0.0
