chain;generation;mvalue
16;0;1.0
16;1;0.8333333333333334
16;2;1.0
16;3;1.0
16;4;0.6666666666666666
16;5;0.16666666666666666
16;6;0.16666666666666666
16;7;0.16666666666666666
16;8;0.16666666666666666
16;9;0.3333333333333333
16;10;0.5
17;0;1.0
17;1;1.0
17;2;1.0
17;3;0.6666666666666666
17;4;0.5
17;5;0.6666666666666666
17;6;0.16666666666666666
17;7;0.3333333333333333
17;8;0.3333333333333333
17;9;0.3333333333333333
17;10;0.16666666666666666
18;0;1.0
18;1;1.0
18;2;0.3333333333333333
18;3;0.16666666666666666
18;4;0.0
18;5;0.0
18;6;0.0
18;7;0.16666666666666666
18;8;0.0
18;9;0.0
18;10;0.0
19;0;1.0
19;1;0.6666666666666666
19;2;0.8333333333333334
19;3;1.0
19;4;0.5
19;5;0.6666666666666666
19;6;0.5
19;7;0.3333333333333333
19;8;0.3333333333333333
19;9;0.3333333333333333
19;10;0.3333333333333333
20;0;1.0
20;1;1.0
20;2;1.0
20;3;1.0
20;4;1.0
20;5;1.0
20;6;1.0
20;7;1.0
20;8;0.5
20;9;0.5
20;10;0.5
21;0;1.0
21;1;0.5
21;2;0.16666666666666666
21;3;0.16666666666666666
21;4;0.0
21;5;0.16666666666666666
21;6;0.16666666666666666
21;7;0.16666666666666666
21;8;0.16666666666666666
21;9;0.0
21;10;0.0
22;0;1.0
22;1;0.8333333333333334
22;2;0.0
22;3;0.5
22;4;0.3333333333333333
22;5;0.5
22;6;0.3333333333333333
22;7;0.3333333333333333
22;8;0.5
22;9;0.3333333333333333
22;10;0.3333333333333333
23;0;1.0
23;1;1.0
23;2;1.0
23;3;0.8333333333333334
23;4;0.16666666666666666
23;5;0.16666666666666666
23;6;0.16666666666666666
23;7;0.16666666666666666
23;8;0.16666666666666666
23;9;0.16666666666666666
23;10;0.3333333333333333
24;0;1.0
24;1;1.0
24;2;1.0
24;3;1.0
24;4;0.3333333333333333
24;5;0.3333333333333333
24;6;0.16666666666666666
24;7;0.16666666666666666
24;8;0.16666666666666666
24;9;0.16666666666666666
24;10;0.16666666666666666
25;0;1.0
25;1;1.0
25;2;0.3333333333333333
25;3;0.16666666666666666
25;4;0.6666666666666666
25;5;0.3333333333333333
25;6;0.0
25;7;0.0
25;8;0.0
25;9;0.0
25;10;0.0
26;0;1.0
26;1;1.0
26;2;1.0
26;3;1.0
26;4;1.0
26;5;1.0
26;6;1.0
26;7;1.0
26;8;1.0
26;9;1.0
26;10;1.0
27;0;1.0
27;1;0.8333333333333334
27;2;0.0
27;3;0.16666666666666666
27;4;0.0
27;5;0.0
27;6;0.0
27;7;0.0
27;8;0.0
27;9;0.0
27;10;0.0
28;0;1.0
28;1;0.8333333333333334
28;2;0.3333333333333333
28;3;0.0
28;4;0.16666666666666666
28;5;0.16666666666666666
28;6;0.0
28;7;0.16666666666666666
28;8;0.16666666666666666
28;9;0.3333333333333333
28;10;0.5
29;0;1.0
29;1;1.0
29;2;0.5
29;3;0.0
29;4;0.3333333333333333
29;5;0.6666666666666666
29;6;0.6666666666666666
29;7;0.5
29;8;0.5
29;9;0.5
29;10;0.3333333333333333
30;0;1.0
30;1;0.8333333333333334
30;2;1.0
30;3;0.16666666666666666
30;4;0.5
30;5;0.5
30;6;0.3333333333333333
30;7;0.5
30;8;0.16666666666666666
30;9;0.16666666666666666
30;10;0.0
