chain;generation;mvalue
1;0;0.25
1;1;0.25
1;2;0.25
1;3;0.25
1;4;0.25
1;5;0.25
1;6;0.25
1;7;0.25
1;8;0.25
1;9;0.25
1;10;0.25
2;0;0.25
2;1;0.25
2;2;0.25
2;3;0.25
2;4;0.25
2;5;0.25
2;6;0.25
2;7;0.25
2;8;0.25
2;9;0.3125
2;10;0.3125
3;0;0.25
3;1;0.25
3;2;0.25
3;3;0.25
3;4;0.25
3;5;0.25
3;6;0.25
3;7;0.25
3;8;0.25
3;9;0.25
3;10;0.25
4;0;0.25
4;1;0.25
4;2;0.25
4;3;0.25
4;4;0.25
4;5;0.3125
4;6;0.3125
4;7;0.3125
4;8;0.3125
4;9;0.3125
4;10;0.375
5;0;0.25
5;1;0.25
5;2;0.25
5;3;0.25
5;4;0.25
5;5;0.25
5;6;0.3125
5;7;0.3125
5;8;0.25
5;9;0.25
5;10;0.25
6;0;0.25
6;1;0.25
6;2;0.25
6;3;0.25
6;4;0.25
6;5;0.25
6;6;0.25
6;7;0.25
6;8;0.25
6;9;0.3125
6;10;0.3125
7;0;0.25
7;1;0.25
7;2;0.25
7;3;0.25
7;4;0.25
7;5;0.25
7;6;0.25
7;7;0.25
7;8;0.25
7;9;0.25
7;10;0.25
8;0;0.25
8;1;0.25
8;2;0.25
8;3;0.25
8;4;0.25
8;5;0.25
8;6;0.25
8;7;0.25
8;8;0.25
8;9;0.25
8;10;0.25
9;0;0.25
9;1;0.25
9;2;0.25
9;3;0.3125
9;4;0.3125
9;5;0.3125
9;6;0.3125
9;7;0.3125
9;8;0.3125
9;9;0.3125
9;10;0.3125
10;0;0.25
10;1;0.25
10;2;0.25
10;3;0.25
10;4;0.25
10;5;0.25
10;6;0.25
10;7;0.25
10;8;0.25
10;9;0.25
10;10;0.25
11;0;0.25
11;1;0.25
11;2;0.25
11;3;0.25
11;4;0.25
11;5;0.25
11;6;0.25
11;7;0.25
11;8;0.25
11;9;0.25
11;10;0.25
12;0;0.25
12;1;0.25
12;2;0.25
12;3;0.25
12;4;0.25
12;5;0.25
12;6;0.25
12;7;0.25
12;8;0.25
12;9;0.375
12;10;0.3125
13;0;0.25
13;1;0.25
13;2;0.25
13;3;0.25
13;4;0.25
13;5;0.25
13;6;0.25
13;7;0.25
13;8;0.25
13;9;0.25
13;10;0.25
14;0;0.25
14;1;0.25
14;2;0.25
14;3;0.25
14;4;0.25
14;5;0.25
14;6;0.25
14;7;0.25
14;8;0.25
14;9;0.25
14;10;0.3125
15;0;0.25
15;1;0.25
15;2;0.25
15;3;0.25
15;4;0.25
15;5;0.25
15;6;0.25
15;7;0.3125
15;8;0.25
15;9;0.3125
15;10;0.3125
