chain;generation;mvalue
1;0;0.5
1;1;0.5
1;2;0.5
1;3;0.5
1;4;0.5454545454545454
1;5;0.5454545454545454
1;6;0.45454545454545453
1;7;0.45454545454545453
1;8;0.45454545454545453
1;9;0.45454545454545453
1;10;0.45454545454545453
2;0;0.5
2;1;0.5
2;2;0.5
2;3;0.5
2;4;0.5
2;5;0.5
2;6;0.5
2;7;0.5
2;8;0.5
2;9;0.5
2;10;0.5
3;0;0.5
3;1;0.5
3;2;0.5
3;3;0.5
3;4;0.5454545454545454
3;5;0.6
3;6;0.6
3;7;0.5454545454545454
3;8;0.5454545454545454
3;9;0.5
3;10;0.36363636363636365
4;0;0.5
4;1;0.5
4;2;0.5
4;3;0.5
4;4;0.3333333333333333
4;5;0.3333333333333333
4;6;0.36363636363636365
4;7;0.36363636363636365
4;8;0.36363636363636365
4;9;0.25
4;10;0.25
5;0;0.5
5;1;0.5
5;2;0.5
5;3;0.5
5;4;0.5833333333333334
5;5;0.5833333333333334
5;6;0.5833333333333334
5;7;0.5833333333333334
5;8;0.5833333333333334
5;9;0.5833333333333334
5;10;0.5833333333333334
6;0;0.5
6;1;0.5
6;2;0.5
6;3;0.5
6;4;0.5
6;5;0.5
6;6;0.5
6;7;0.5
6;8;0.5
6;9;0.5
6;10;0.5
7;0;0.5
7;1;0.5
7;2;0.5
7;3;0.5
7;4;0.5
7;5;0.5
7;6;0.5
7;7;0.5
7;8;0.5
7;9;0.5
7;10;0.5
8;0;0.5
8;1;0.5454545454545454
8;2;0.45454545454545453
8;3;0.45454545454545453
8;4;0.45454545454545453
8;5;0.45454545454545453
8;6;0.25
8;7;0.25
8;8;0.25
8;9;0.25
8;10;0.25
9;0;0.5
9;1;0.5
9;2;0.5
9;3;0.5
9;4;0.5
9;5;0.5
9;6;0.5
9;7;0.5
9;8;0.5
9;9;0.5
9;10;0.5
10;0;0.5
10;1;0.5
10;2;0.5
10;3;0.5
10;4;0.5
10;5;0.5
10;6;0.4166666666666667
10;7;0.4166666666666667
10;8;0.4166666666666667
10;9;0.4166666666666667
10;10;0.3333333333333333
11;0;0.5
11;1;0.5
11;2;0.5
11;3;0.5
11;4;0.4166666666666667
11;5;0.4166666666666667
11;6;0.4166666666666667
11;7;0.4166666666666667
11;8;0.4166666666666667
11;9;0.4166666666666667
11;10;0.4166666666666667
12;0;0.5
12;1;0.5
12;2;0.5454545454545454
12;3;0.6
12;4;0.6
12;5;0.6
12;6;0.5
12;7;0.4
12;8;0.4
12;9;0.3
12;10;0.3333333333333333
13;0;0.5
13;1;0.5
13;2;0.5
13;3;0.5
13;4;0.5
13;5;0.5
13;6;0.5
13;7;0.5
13;8;0.5
13;9;0.5
13;10;0.5
14;0;0.5
14;1;0.5
14;2;0.5
14;3;0.25
14;4;0.2727272727272727
14;5;0.2727272727272727
14;6;0.2727272727272727
14;7;0.2727272727272727
14;8;0.2727272727272727
14;9;0.25
14;10;0.3333333333333333
15;0;0.5
15;1;0.5
15;2;0.5
15;3;0.5
15;4;0.5
15;5;0.5
15;6;0.5
15;7;0.45454545454545453
15;8;0.5
15;9;0.5
15;10;0.5
