chain;generation;mvalue
16;0;0.0
16;1;0.0
16;2;0.0625
16;3;0.0
16;4;0.25
16;5;0.1875
16;6;0.1875
16;7;0.25
16;8;0.0625
16;9;0.125
16;10;0.1875
17;0;0.0
17;1;0.0
17;2;0.0
17;3;0.125
17;4;0.125
17;5;0.25
17;6;0.375
17;7;0.5625
17;8;0.5625
17;9;0.5625
17;10;0.4375
18;0;0.0
18;1;0.0625
18;2;0.3125
18;3;0.125
18;4;0.25
18;5;0.125
18;6;0.0625
18;7;0.125
18;8;0.0
18;9;0.0
18;10;0.0
19;0;0.0
19;1;0.0
19;2;0.0625
19;3;0.0625
19;4;0.0
19;5;0.0
19;6;0.0625
19;7;0.0625
19;8;0.0
19;9;0.0
19;10;0.0625
20;0;0.0
20;1;0.0625
20;2;0.0
20;3;0.0
20;4;0.0
20;5;0.0
20;6;0.0
20;7;0.0625
20;8;0.0625
20;9;0.0625
20;10;0.0625
21;0;0.0
21;1;0.125
21;2;0.0
21;3;0.0
21;4;0.0
21;5;0.0625
21;6;0.0625
21;7;0.1875
21;8;0.1875
21;9;0.125
21;10;0.125
22;0;0.0
22;1;0.0
22;2;0.0625
22;3;0.1875
22;4;0.0625
22;5;0.125
22;6;0.125
22;7;0.125
22;8;0.1875
22;9;0.125
22;10;0.125
23;0;0.0
23;1;0.0
23;2;0.0
23;3;0.0
23;4;0.0625
23;5;0.0625
23;6;0.0625
23;7;0.0625
23;8;0.0625
23;9;0.0625
23;10;0.125
24;0;0.0
24;1;0.0
24;2;0.0
24;3;0.1875
24;4;0.0625
24;5;0.0
24;6;0.0
24;7;0.0
24;8;0.0
24;9;0.0
24;10;0.0
25;0;0.0
25;1;0.0625
25;2;0.0625
25;3;0.125
25;4;0.1875
25;5;0.25
25;6;0.0
25;7;0.0
25;8;0.0
25;9;0.0
25;10;0.0
26;0;0.0
26;1;0.0
26;2;0.0625
26;3;0.0625
26;4;0.0
26;5;0.0
26;6;0.0
26;7;0.0
26;8;0.0
26;9;0.0
26;10;0.0625
27;0;0.0
27;1;0.0625
27;2;0.0625
27;3;0.0
27;4;0.0625
27;5;0.0625
27;6;0.125
27;7;0.125
27;8;0.125
27;9;0.125
27;10;0.125
28;0;0.0
28;1;0.0625
28;2;0.0625
28;3;0.0
28;4;0.0625
28;5;0.125
28;6;0.0
28;7;0.0625
28;8;0.0625
28;9;0.125
28;10;0.125
29;0;0.0
29;1;0.125
29;2;0.0
29;3;0.0
29;4;0.25
29;5;0.125
29;6;0.125
29;7;0.1875
29;8;0.1875
29;9;0.125
29;10;0.1875
30;0;0.0
30;1;0.0
30;2;0.0
30;3;0.0
30;4;0.0
30;5;0.125
30;6;0.0
30;7;0.0625
30;8;0.125
30;9;0.125
30;10;0.1875
