chain;generation;mvalue;prev_value;speaker
16;1;0.0;0.35714285714285715;16-1
16;2;0.0714285714285714;0.35714285714285715;16-2
16;3;-0.0714285714285714;0.42857142857142855;16-3
16;4;-0.0978835978835979;0.35714285714285715;16-4
16;5;-0.009259259259259245;0.25925925925925924;16-5
16;6;0.0;0.25;16-6
16;7;0.0;0.25;16-7
16;8;0.0;0.25;16-8
16;9;0.009259259259259245;0.25;16-9
16;10;0.0;0.25925925925925924;16-10
17;1;0.0;0.35714285714285715;17-1
17;2;0.0;0.35714285714285715;17-2
17;3;0.18452380952380948;0.35714285714285715;17-3
17;4;-0.06340579710144922;0.5416666666666666;17-4
17;5;-0.038260869565217404;0.4782608695652174;17-5
17;6;-0.07636363636363636;0.44;17-6
17;7;-0.09090909090909094;0.36363636363636365;17-7
17;8;0.0;0.2727272727272727;17-8
17;9;0.0;0.2727272727272727;17-9
17;10;0.018939393939393978;0.2727272727272727;17-10
18;1;0.013227513227513199;0.35714285714285715;18-1
18;2;-0.0489417989417989;0.37037037037037035;18-2
18;3;0.023399014778325122;0.32142857142857145;18-3
18;4;-0.01149425287356326;0.3448275862068966;18-4
18;5;0.0;0.3333333333333333;18-5
18;6;0.01149425287356326;0.3333333333333333;18-6
18;7;-0.023399014778325122;0.3448275862068966;18-7
18;8;-0.035714285714285754;0.32142857142857145;18-8
18;9;0.0;0.2857142857142857;18-9
18;10;0.0;0.2857142857142857;18-10
19;1;0.0;0.35714285714285715;19-1
19;2;0.013227513227513199;0.35714285714285715;19-2
19;3;-0.013227513227513199;0.37037037037037035;19-3
19;4;-0.0357142857142857;0.35714285714285715;19-4
19;5;0.0;0.32142857142857145;19-5
19;6;0.0;0.32142857142857145;19-6
19;7;-0.035714285714285754;0.32142857142857145;19-7
19;8;0.0;0.2857142857142857;19-8
19;9;0.0;0.2857142857142857;19-9
19;10;0.010582010582010581;0.2857142857142857;19-10
20;1;0.013227513227513199;0.35714285714285715;20-1
20;2;-0.013227513227513199;0.37037037037037035;20-2
20;3;0.0;0.35714285714285715;20-3
20;4;0.0;0.35714285714285715;20-4
20;5;0.0;0.35714285714285715;20-5
20;6;0.0;0.35714285714285715;20-6
20;7;0.0;0.35714285714285715;20-7
20;8;0.0;0.35714285714285715;20-8
20;9;-0.0357142857142857;0.35714285714285715;20-9
20;10;0.0;0.32142857142857145;20-10
21;1;-0.0357142857142857;0.35714285714285715;21-1
21;2;-0.035714285714285754;0.32142857142857145;21-2
21;3;0.0;0.2857142857142857;21-3
21;4;-0.0357142857142857;0.2857142857142857;21-4
21;5;0.009259259259259245;0.25;21-5
21;6;0.07407407407407407;0.25925925925925924;21-6
21;7;-0.037037037037037035;0.3333333333333333;21-7
21;8;0.0;0.2962962962962963;21-8
21;9;-0.04629629629629628;0.2962962962962963;21-9
21;10;0.0;0.25;21-10
22;1;0.0;0.35714285714285715;22-1
22;2;-0.10714285714285715;0.35714285714285715;22-2
22;3;0.0;0.25;22-3
22;4;0.0357142857142857;0.25;22-4
22;5;0.047619047619047616;0.2857142857142857;22-5
22;6;-0.037037037037037035;0.3333333333333333;22-6
22;7;-0.027065527065527062;0.2962962962962963;22-7
22;8;0.0;0.2692307692307692;22-8
22;9;0.0;0.2692307692307692;22-9
22;10;0.0;0.2692307692307692;22-10
23;1;0.0357142857142857;0.35714285714285715;23-1
23;2;0.0;0.39285714285714285;23-2
23;3;0.0357142857142857;0.39285714285714285;23-3
23;4;-0.021164021164021163;0.42857142857142855;23-4
23;5;-0.037037037037037035;0.4074074074074074;23-5
23;6;0.0;0.37037037037037035;23-6
23;7;0.0;0.37037037037037035;23-7
23;8;0.0;0.37037037037037035;23-8
23;9;0.0;0.37037037037037035;23-9
23;10;0.014245014245014287;0.37037037037037035;23-10
24;1;0.0;0.35714285714285715;24-1
24;2;0.0;0.35714285714285715;24-2
24;3;-0.0357142857142857;0.35714285714285715;24-3
24;4;-0.035714285714285754;0.32142857142857145;24-4
24;5;0.0;0.2857142857142857;24-5
24;6;0.0;0.2857142857142857;24-6
24;7;0.0;0.2857142857142857;24-7
24;8;0.0;0.2857142857142857;24-8
24;9;0.0;0.2857142857142857;24-9
24;10;0.0;0.2857142857142857;24-10
25;1;0.013227513227513199;0.35714285714285715;25-1
25;2;-0.07407407407407407;0.37037037037037035;25-2
25;3;-0.04629629629629628;0.2962962962962963;25-3
25;4;0.0;0.25;25-4
25;5;0.009259259259259245;0.25;25-5
25;6;-0.009259259259259245;0.25925925925925924;25-6
25;7;0.0;0.25;25-7
25;8;0.0;0.25;25-8
25;9;0.0;0.25;25-9
25;10;0.0;0.25;25-10
26;1;0.0;0.35714285714285715;26-1
26;2;0.013227513227513199;0.35714285714285715;26-2
26;3;0.0;0.37037037037037035;26-3
26;4;-0.013227513227513199;0.37037037037037035;26-4
26;5;0.0;0.35714285714285715;26-5
26;6;0.0;0.35714285714285715;26-6
26;7;0.0;0.35714285714285715;26-7
26;8;0.0;0.35714285714285715;26-8
26;9;0.0;0.35714285714285715;26-9
26;10;0.0;0.35714285714285715;26-10
27;1;0.0;0.35714285714285715;27-1
27;2;-0.07142857142857145;0.35714285714285715;27-2
27;3;0.035714285714285754;0.2857142857142857;27-3
27;4;-0.08004926108374386;0.32142857142857145;27-4
27;5;0.0;0.2413793103448276;27-5
27;6;0.0;0.2413793103448276;27-6
27;7;0.0;0.2413793103448276;27-7
27;8;0.0;0.2413793103448276;27-8
27;9;0.008620689655172403;0.2413793103448276;27-9
27;10;0.0;0.25;27-10
