dig,ker,dig ho,dig to,dig po,ker hu,ker tu,ker pu,digf,kerf,digf ho,digf to,digf po,kerf hu,kerf tu,kerf pu
dig,ker,dig po,dig to,dig ho,ker po,ker tu,ker ho,digf,kerf,digf po,digf to,digf ho,kerf pu,kerf tu,kerf hu
dig,ker,dig po,dig to,dig ho,ker po,ker tu,ker ho,digf,kerf,digf po,digf to,digf ho,kerf pu,kerf tu,kerf hu
dig,ker, dig ho,dig tu,dig po,ker po,ker tu,ker po,digf,kerf,digf ho,digf tu,digf po,kerf po,kerf tu,kerf po
dig,ker,dig ho,dig tu,dig po,ker,ker tu,ker po,digf,kerf,digf ho,digf tu,digf po,kerf po,kerf tu,kerf po
dig,ker,dig ho,dig tu,dig po,ker,ker tu,ker po,digf,kerf,digf ho,digf tu,digf po,kerf po,kerf tu,kerf po
dig,ker,dig ho,dig tu,dig po,ker,ker tu,ker po,digf,kerf,digf ho,digf tu,digf po,kerf po,kerf tu,kerf po
dig,ker,dig ho,dig tu,dig po,ker,ker tu,ker po,digf,kerf,digf ho,digf tu,digf po,kerf po,kerf tu,kerf po
dig,ker,dig ho,dig tu,dig po,ker,ker tu,ker po,digf,kerf,digf ho,digf tu,digf po,kerf po,kerf tu,kerf po
dig,ker,dig ho,dig tu,dig ho,ker ho,ker tu,ker ho,digf,kerf,digf ho,digf tu,digf po,kerf ho,kerf tu,kerf ho
dig,ker,dig ho,dig tu,dig po,ker ho,ker to,ker ho,digs,kerf,digf ho,digf tu,digf po,kerf ho,kerf tu,kerf po
