zir,vel,zir fo,zir mo,zir ho,vel fu,vel mu,vel hu,zird,veld,zird fo,zird mo,zird ho,veld fu,veld mu,veld hu
zir,ver,zir fu,zir mu,zir ho,ver,ver mo,ver hu,zird,verd,zird fu,zied mu,zird hu,verd fo,verd mu,verd ho
zir,vir,zir fu,zir mu,zer hu,ver fu,vir mu,ver fu,zied,verd,zied fu,zied mu,zied fo,verd fu,vird mo,verd fo
zir,vir,zer fu,zer mu,zer fo,ver fu,ver mu,ver fo,zerd,verd,zier fu,zerd mu,zier fo,verd fu,verd mu,verd fo
zer,vir,zer fu,zier mu,zer fo,ver fu,ver mu,ver fu,zerd,verd,zerd fu,zerd mu,zerd fo,verd fu,verd mu,verd fo
zer,vir,zerd fu,zier mu,zer fo,verd fu,ver mu,ver fu,zerd,verd,zerd fu,zerd mu,zerd fo,verd fu,verd mu,verd fo
zer,vir,zer fu,zier mu,zer fo,ver fu,ver mu,ver fo,zerd,verd,zerd fu,zerd mu,zerd fo,verd fu,verd mu,verd fo
zer,vir,zer fu,zier mu,zer fo,ver fu,ver mu,ver fo,zerd,verd,zerd fu,zerd mu,zerd fo,verd,verd mu,verd fo
zer,vir,zer fu,zier mu,zer fo,ver fu,ver mu,ver fo,zerd,verd,zerd fu,zerd mu,zerd fo,verd,verd mu,verd fo
zer,vir,zer fu,zier mu,zer fo,ver fu,ver mu,ver fo,zerd,verd,zerd fu,zerd mu,zerd mu,verd,verd mu,verd fo
zer,vir,zer,zer mu,zer fo,vir fu,vir mu,vir fo,zerd,verd,zerd fu,zerd mu,zierd mu,verd,verd mu,verd fo
