chain;generation;mvalue
1;0;0.0
1;1;1.0
1;2;1.0
1;3;1.0
1;4;0.938
1;5;0.938
1;6;0.75
1;7;0.938
1;8;1.0
1;9;1.0
1;10;1.0
2;0;0.0
2;1;0.938
2;2;1.0
2;3;1.0
2;4;1.0
2;5;1.0
2;6;0.875
2;7;0.875
2;8;0.938
2;9;0.875
2;10;0.875
3;0;0.0
3;1;1.0
3;2;0.938
3;3;0.875
3;4;1.0
3;5;0.938
3;6;0.875
3;7;0.938
3;8;1.0
3;9;0.875
3;10;0.938
4;0;0.0
4;1;0.938
4;2;1.0
4;3;0.938
4;4;0.875
4;5;0.813
4;6;0.875
4;7;0.938
4;8;1.0
4;9;0.75
4;10;0.813
5;0;0.0
5;1;1.0
5;2;1.0
5;3;0.875
5;4;0.938
5;5;1.0
5;6;1.0
5;7;0.938
5;8;1.0
5;9;0.875
5;10;1.0
6;0;0.0
6;1;1.0
6;2;1.0
6;3;0.938
6;4;1.0
6;5;0.938
6;6;1.0
6;7;0.938
6;8;1.0
6;9;0.875
6;10;1.0
7;0;0.0
7;1;1.0
7;2;0.938
7;3;0.938
7;4;1.0
7;5;1.0
7;6;0.875
7;7;0.938
7;8;0.875
7;9;0.875
7;10;0.875
8;0;0.0
8;1;0.938
8;2;1.0
8;3;1.0
8;4;1.0
8;5;1.0
8;6;0.875
8;7;0.875
8;8;0.875
8;9;1.0
8;10;0.938
9;0;0.0
9;1;1.0
9;2;0.813
9;3;0.938
9;4;1.0
9;5;1.0
9;6;1.0
9;7;1.0
9;8;1.0
9;9;1.0
9;10;1.0
10;0;0.0
10;1;0.938
10;2;1.0
10;3;1.0
10;4;0.875
10;5;0.938
10;6;1.0
10;7;1.0
10;8;1.0
10;9;1.0
10;10;1.0
11;0;0.0
11;1;1.0
11;2;0.938
11;3;0.813
11;4;1.0
11;5;1.0
11;6;1.0
11;7;1.0
11;8;1.0
11;9;0.875
11;10;0.938
12;0;0.0
12;1;0.938
12;2;1.0
12;3;0.813
12;4;0.938
12;5;0.938
12;6;1.0
12;7;1.0
12;8;0.813
12;9;0.813
12;10;0.938
13;0;0.0
13;1;0.938
13;2;1.0
13;3;1.0
13;4;1.0
13;5;0.938
13;6;1.0
13;7;1.0
13;8;1.0
13;9;0.938
13;10;0.938
14;0;0.0
14;1;0.938
14;2;1.0
14;3;0.875
14;4;0.875
14;5;1.0
14;6;0.813
14;7;0.875
14;8;0.813
14;9;0.813
14;10;0.938
15;0;0.0
15;1;0.875
15;2;1.0
15;3;0.875
15;4;1.0
15;5;0.938
15;6;1.0
15;7;1.0
15;8;0.938
15;9;0.938
15;10;0.875
