chain;generation;mvalue
31;0;0.0
31;1;1.0
31;2;1.0
31;3;0.875
31;4;0.875
31;5;0.75
31;6;0.875
31;7;0.938
31;8;0.875
31;9;0.875
31;10;0.875
32;0;0.0
32;1;1.0
32;2;0.938
32;3;0.938
32;4;1.0
32;5;1.0
32;6;0.938
32;7;0.875
32;8;0.813
32;9;0.813
32;10;0.75
33;0;0.0
33;1;1.0
33;2;0.875
33;3;0.875
33;4;0.875
33;5;1.0
33;6;0.688
33;7;0.938
33;8;0.75
33;9;0.875
33;10;0.875
34;0;0.0
34;1;1.0
34;2;0.938
34;3;0.813
34;4;1.0
34;5;0.438
34;6;0.375
34;7;0.688
34;8;0.5
34;9;0.438
34;10;0.125
35;0;0.0
35;1;1.0
35;2;0.875
35;3;0.875
35;4;1.0
35;5;0.688
35;6;0.938
35;7;0.875
35;8;1.0
35;9;1.0
35;10;1.0
36;0;0.0
36;1;0.938
36;2;0.938
36;3;0.813
36;4;0.938
36;5;1.0
36;6;1.0
36;7;1.0
36;8;0.938
36;9;1.0
36;10;0.938
37;0;0.0
37;1;1.0
37;2;0.938
37;3;0.875
37;4;0.875
37;5;0.875
37;6;0.875
37;7;0.875
37;8;0.875
37;9;0.938
37;10;0.688
38;0;0.0
38;1;1.0
38;2;1.0
38;3;0.875
38;4;0.813
38;5;1.0
38;6;1.0
38;7;0.75
38;8;1.0
38;9;0.813
38;10;0.75
39;0;0.0
39;1;1.0
39;2;0.938
39;3;1.0
39;4;0.875
39;5;1.0
39;6;0.75
39;7;0.625
39;8;0.688
39;9;0.875
39;10;0.688
40;0;0.0
40;1;1.0
40;2;0.938
40;3;0.875
40;4;0.938
40;5;0.813
40;6;0.875
40;7;0.875
40;8;1.0
40;9;1.0
40;10;0.938
41;0;0.0
41;1;0.938
41;2;0.938
41;3;0.938
41;4;0.75
41;5;0.813
41;6;0.938
41;7;1.0
41;8;0.938
41;9;0.938
41;10;1.0
42;0;0.0
42;1;1.0
42;2;0.875
42;3;0.938
42;4;1.0
42;5;1.0
42;6;0.875
42;7;1.0
42;8;0.875
42;9;0.938
42;10;0.938
43;0;0.0
43;1;1.0
43;2;0.875
43;3;1.0
43;4;0.938
43;5;0.938
43;6;0.625
43;7;0.75
43;8;1.0
43;9;1.0
43;10;1.0
44;0;0.0
44;1;1.0
44;2;0.938
44;3;0.813
44;4;0.813
44;5;0.813
44;6;0.813
44;7;0.875
44;8;0.688
44;9;0.938
44;10;0.813
45;0;0.0
45;1;1.0
45;2;0.75
45;3;0.688
45;4;1.0
45;5;0.813
45;6;0.938
45;7;0.938
45;8;0.938
45;9;0.875
45;10;0.875
