chain;generation;mvalue
16;0;1.0
16;1;1.0
16;2;0.875
16;3;1.0
16;4;1.0
16;5;1.0
16;6;1.0
16;7;0.75
16;8;1.0
16;9;1.0
16;10;0.875
17;0;1.0
17;1;1.0
17;2;1.0
17;3;0.75
17;4;0.75
17;5;0.5
17;6;0.375
17;7;0.375
17;8;0.375
17;9;0.25
17;10;0.75
18;0;1.0
18;1;1.0
18;2;0.625
18;3;0.875
18;4;0.75
18;5;1.0
18;6;1.0
18;7;0.75
18;8;1.0
18;9;1.0
18;10;1.0
19;0;1.0
19;1;1.0
19;2;1.0
19;3;0.875
19;4;1.0
19;5;0.875
19;6;0.875
19;7;0.875
19;8;1.0
19;9;1.0
19;10;1.0
20;0;1.0
20;1;1.0
20;2;1.0
20;3;1.0
20;4;1.0
20;5;1.0
20;6;1.0
20;7;1.0
20;8;1.0
20;9;0.875
20;10;0.875
21;0;1.0
21;1;1.0
21;2;1.0
21;3;1.0
21;4;1.0
21;5;1.0
21;6;1.0
21;7;0.75
21;8;0.75
21;9;0.75
21;10;0.75
22;0;1.0
22;1;1.0
22;2;0.875
22;3;0.875
22;4;0.875
22;5;0.75
22;6;0.875
22;7;1.0
22;8;1.0
22;9;1.0
22;10;1.0
23;0;1.0
23;1;1.0
23;2;1.0
23;3;1.0
23;4;1.0
23;5;1.0
23;6;1.0
23;7;1.0
23;8;1.0
23;9;1.0
23;10;1.0
24;0;1.0
24;1;1.0
24;2;1.0
24;3;1.0
24;4;1.0
24;5;1.0
24;6;1.0
24;7;1.0
24;8;1.0
24;9;1.0
24;10;1.0
25;0;1.0
25;1;1.0
25;2;1.0
25;3;0.75
25;4;1.0
25;5;1.0
25;6;1.0
25;7;1.0
25;8;1.0
25;9;1.0
25;10;1.0
26;0;1.0
26;1;1.0
26;2;1.0
26;3;1.0
26;4;1.0
26;5;1.0
26;6;1.0
26;7;1.0
26;8;1.0
26;9;1.0
26;10;1.0
27;0;1.0
27;1;0.875
27;2;0.875
27;3;1.0
27;4;1.0
27;5;1.0
27;6;1.0
27;7;1.0
27;8;1.0
27;9;0.875
27;10;0.875
28;0;1.0
28;1;1.0
28;2;1.0
28;3;1.0
28;4;1.0
28;5;0.75
28;6;1.0
28;7;1.0
28;8;1.0
28;9;1.0
28;10;1.0
29;0;1.0
29;1;0.875
29;2;1.0
29;3;1.0
29;4;0.75
29;5;0.75
29;6;0.75
29;7;0.625
29;8;0.625
29;9;0.625
29;10;0.625
30;0;1.0
30;1;1.0
30;2;1.0
30;3;1.0
30;4;1.0
30;5;0.75
30;6;1.0
30;7;1.0
30;8;0.75
30;9;0.875
30;10;0.875
