chain;generation;mvalue
31;1;1.0
31;2;1.0
31;3;0.9627976190476191
31;4;0.8839285714285714
31;5;0.8824404761904762
31;6;0.9055059523809524
31;7;0.9315476190476191
31;8;0.8958333333333334
31;9;0.8921130952380952
31;10;0.90625
32;1;0.9910714285714286
32;2;0.9910714285714286
32;3;1.0
32;4;1.0
32;5;0.9419642857142857
32;6;0.8883928571428572
32;7;0.8616071428571429
32;8;0.9449404761904762
32;9;0.8571428571428572
32;10;0.9136904761904762
33;1;1.0
33;2;0.9821428571428571
33;3;0.9732142857142857
33;4;0.9397321428571429
33;5;0.8988095238095238
33;6;0.9627976190476191
33;7;1.0
33;8;0.9910714285714286
33;9;0.9464285714285714
33;10;0.9732142857142857
34;1;1.0
34;2;0.9895833333333334
34;3;0.9419642857142857
34;4;0.9791666666666666
34;5;0.44270833333333337
34;6;0.6901041666666667
34;7;0.8556547619047619
34;8;0.6577380952380953
34;9;0.7514880952380952
34;10;0.7589285714285715
35;1;1.0
35;2;0.9151785714285714
35;3;0.9732142857142857
35;4;1.0
35;5;0.96875
35;6;0.9895833333333334
35;7;0.9895833333333334
35;8;1.0
35;9;1.0
35;10;0.96875
36;1;1.0
36;2;0.9806547619047619
36;3;0.8869047619047619
36;4;0.8779761904761905
36;5;1.0
36;6;0.96875
36;7;1.0
36;8;0.9821428571428571
36;9;0.9665178571428571
36;10;0.8415178571428572
37;1;1.0
37;2;1.0
37;3;0.8735119047619048
37;4;0.9330357142857143
37;5;0.8377976190476191
37;6;0.8958333333333334
37;7;0.8973214285714286
37;8;0.9389880952380952
37;9;0.9017857142857143
37;10;0.8928571428571429
38;1;1.0
38;2;1.0
38;3;0.9464285714285714
38;4;0.9077380952380952
38;5;0.9717261904761905
38;6;0.9627976190476191
38;7;0.8958333333333334
38;8;0.9523809523809523
38;9;1.0
38;10;0.8809523809523809
39;1;1.0
39;2;0.9196428571428572
39;3;0.9613095238095238
39;4;0.9270833333333334
39;5;0.9017857142857143
39;6;0.8541666666666667
39;7;0.8645833333333334
39;8;0.9345238095238095
39;9;0.9345238095238095
39;10;0.8675595238095238
40;1;1.0
40;2;0.9434523809523809
40;3;0.9107142857142857
40;4;0.9553571428571429
40;5;0.8973214285714286
40;6;0.36755952380952384
40;7;0.9791666666666666
40;8;0.9732142857142857
40;9;1.0
40;10;0.9449404761904762
41;1;1.0
41;2;0.8958333333333334
41;3;0.90625
41;4;0.9821428571428571
41;5;0.9702380952380952
41;6;0.9419642857142857
41;7;0.9895833333333334
41;8;0.9032738095238095
41;9;0.9791666666666666
41;10;1.0
42;1;0.9895833333333334
42;2;0.9791666666666666
42;3;0.9508928571428572
42;4;0.9806547619047619
42;5;0.9613095238095238
42;6;0.9598214285714286
42;7;0.9717261904761905
42;8;0.9910714285714286
42;9;1.0
42;10;0.9821428571428571
43;1;0.9821428571428571
43;2;0.9151785714285714
43;3;0.9434523809523809
43;4;0.9910714285714286
43;5;0.8764880952380952
43;6;0.8377976190476191
43;7;0.9330357142857143
43;8;0.9241071428571428
43;9;0.9226190476190477
43;10;1.0
44;1;0.9895833333333334
44;2;0.8794642857142857
44;3;0.8690476190476191
44;4;0.9077380952380952
44;5;0.9151785714285714
44;6;0.9508928571428572
44;7;0.9508928571428572
44;8;0.9345238095238095
44;9;0.9523809523809523
44;10;0.9047619047619048
45;1;1.0
45;2;0.8787202380952381
45;3;0.9190476190476191
45;4;0.9063988095238096
45;5;0.9203869047619048
45;6;0.9196428571428572
45;7;0.9642857142857143
45;8;0.9404761904761905
45;9;0.9553571428571429
45;10;0.9821428571428571
