chain;generation;mvalue
16;1;0.9910714285714286
16;2;0.9471726190476191
16;3;0.9561011904761905
16;4;0.8206845238095238
16;5;0.9241071428571428
16;6;1.0
16;7;0.9821428571428571
16;8;0.9449404761904762
16;9;0.9732142857142857
16;10;0.9821428571428571
17;1;1.0
17;2;1.0
17;3;0.46130952380952395
17;4;0.5848214285714286
17;5;0.7596726190476191
17;6;0.8928571428571429
17;7;0.7790178571428572
17;8;1.0
17;9;0.96875
17;10;0.5245535714285714
18;1;0.9732142857142857
18;2;0.7985119047619048
18;3;0.3850446428571429
18;4;0.8102678571428572
18;5;0.9308035714285714
18;6;0.9553571428571429
18;7;0.7912946428571429
18;8;0.9040178571428572
18;9;1.0
18;10;1.0
19;1;0.9821428571428571
19;2;0.9732142857142857
19;3;0.9464285714285714
19;4;0.9255952380952381
19;5;0.9806547619047619
19;6;0.9553571428571429
19;7;0.9732142857142857
19;8;0.9910714285714286
19;9;1.0
19;10;0.9434523809523809
20;1;0.9732142857142857
20;2;0.9732142857142857
20;3;1.0
20;4;1.0
20;5;1.0
20;6;1.0
20;7;0.9910714285714286
20;8;0.9702380952380952
20;9;0.9255952380952381
20;10;1.0
21;1;0.9330357142857143
21;2;0.9627976190476191
21;3;1.0
21;4;0.9895833333333334
21;5;0.96875
21;6;0.9508928571428572
21;7;0.8943452380952381
21;8;1.0
21;9;0.9389880952380952
21;10;1.0
22;1;0.9910714285714286
22;2;0.9241071428571429
22;3;0.8467261904761905
22;4;0.8497023809523809
22;5;0.9434523809523809
22;6;0.9642857142857143
22;7;0.9598214285714286
22;8;0.9791666666666666
22;9;0.9791666666666666
22;10;1.0
23;1;0.9895833333333334
23;2;0.9791666666666666
23;3;0.9681547619047619
23;4;0.8755952380952381
23;5;0.9821428571428571
23;6;1.0
23;7;1.0
23;8;1.0
23;9;1.0
23;10;0.9732142857142857
24;1;1.0
24;2;0.96875
24;3;0.9389880952380952
24;4;0.8928571428571429
24;5;0.9910714285714286
24;6;0.9821428571428571
24;7;1.0
24;8;1.0
24;9;1.0
24;10;1.0
25;1;0.96875
25;2;0.8928571428571429
25;3;0.9300595238095238
25;4;0.9211309523809523
25;5;0.9151785714285714
25;6;0.9434523809523809
25;7;1.0
25;8;1.0
25;9;1.0
25;10;1.0
26;1;1.0
26;2;0.9732142857142857
26;3;1.0
26;4;0.9732142857142857
26;5;1.0
26;6;1.0
26;7;1.0
26;8;1.0
26;9;1.0
26;10;0.9895833333333334
27;1;0.9806547619047619
27;2;0.9345238095238095
27;3;0.9717261904761905
27;4;0.9538690476190477
27;5;1.0
27;6;0.96875
27;7;1.0
27;8;0.9910714285714286
27;9;0.9330357142857143
27;10;1.0
28;1;0.7894345238095238
28;2;0.808779761904762
28;3;0.8526785714285714
28;4;0.9241071428571429
28;5;0.9821428571428571
28;6;0.9717261904761905
28;7;0.9732142857142857
28;8;1.0
28;9;0.9821428571428571
28;10;0.9207589285714286
29;1;0.9635416666666666
29;2;0.9069940476190477
29;3;0.9241071428571429
29;4;0.8541666666666666
29;5;0.8973214285714286
29;6;0.9732142857142857
29;7;0.9642857142857143
29;8;1.0
29;9;0.9821428571428571
29;10;0.9642857142857143
30;1;0.9910714285714286
30;2;0.9910714285714286
30;3;0.8735119047619048
30;4;0.8854166666666667
30;5;0.8869047619047619
30;6;0.8653273809523809
30;7;0.8159970238095239
30;8;0.7626488095238095
30;9;0.8802083333333334
30;10;0.8202380952380952
