chain;generation;learner;next_fidelity;overspec_vg
1;0;l1;1.0;1.0
1;1;l1;1.0;1.0
1;2;l1;0.897;1.0
1;3;l1;0.955;0.667
1;4;l1;1.0;0.667
1;5;l1;0.905;0.667
1;6;l1;0.984;0.167
1;7;l1;1.0;0.167
1;8;l1;1.0;0.167
1;9;l1;1.0;0.167
2;0;l1;0.991;1.0
2;1;l1;0.991;0.833
2;2;l1;1.0;1.0
2;3;l1;0.984;1.0
2;4;l1;1.0;1.0
2;5;l1;0.991;1.0
2;6;l1;1.0;0.833
2;7;l1;1.0;0.833
2;8;l1;0.973;0.833
2;9;l1;0.946;1.0
3;0;l1;1.0;1.0
3;1;l1;1.0;1.0
3;2;l1;1.0;1.0
3;3;l1;0.973;1.0
3;4;l1;0.92;1.0
3;5;l1;0.967;1.0
3;6;l1;0.945;1.0
3;7;l1;0.972;0.833
3;8;l1;0.973;0.5
3;9;l1;0.964;0.5
4;0;l1;0.99;1.0
4;1;l1;0.961;0.833
4;2;l1;0.92;0.833
4;3;l1;0.952;0.833
4;4;l1;0.848;0.167
4;5;l1;0.942;0.167
4;6;l1;0.969;0.333
4;7;l1;0.991;0.333
4;8;l1;0.583;0.333
4;9;l1;0.906;0.0
5;0;l1;1.0;1.0
5;1;l1;1.0;1.0
5;2;l1;1.0;1.0
5;3;l1;0.991;1.0
5;4;l1;1.0;1.0
5;5;l1;0.984;1.0
5;6;l1;1.0;1.0
5;7;l1;0.975;1.0
5;8;l1;1.0;1.0
5;9;l1;0.991;1.0
6;0;l1;1.0;1.0
6;1;l1;1.0;1.0
6;2;l1;0.991;1.0
6;3;l1;0.991;1.0
6;4;l1;1.0;1.0
6;5;l1;1.0;1.0
6;6;l1;1.0;1.0
6;7;l1;1.0;1.0
6;8;l1;0.991;1.0
6;9;l1;0.991;1.0
7;0;l1;0.969;1.0
7;1;l1;0.911;1.0
7;2;l1;1.0;0.0
7;3;l1;0.969;0.0
7;4;l1;1.0;0.0
7;5;l1;0.961;0.0
7;6;l1;0.958;0.167
7;7;l1;1.0;0.0
7;8;l1;0.969;0.0
7;9;l1;1.0;0.0
8;0;l1;0.964;1.0
8;1;l1;0.952;1.0
8;2;l1;1.0;0.5
8;3;l1;0.99;0.5
8;4;l1;0.97;0.333
8;5;l1;0.891;0.5
8;6;l1;1.0;0.0
8;7;l1;0.935;0.0
8;8;l1;1.0;0.0
8;9;l1;0.969;0.0
9;0;l1;1.0;1.0
9;1;l1;0.973;1.0
9;2;l1;0.964;1.0
9;3;l1;1.0;1.0
9;4;l1;1.0;1.0
9;5;l1;1.0;1.0
9;6;l1;1.0;1.0
9;7;l1;1.0;1.0
9;8;l1;1.0;1.0
9;9;l1;0.984;1.0
10;0;l1;1.0;1.0
10;1;l1;0.942;1.0
10;2;l1;0.982;0.333
10;3;l1;1.0;0.0
10;4;l1;1.0;0.0
10;5;l1;0.979;0.0
10;6;l1;1.0;0.0
10;7;l1;1.0;0.0
10;8;l1;1.0;0.0
10;9;l1;0.929;0.0
11;0;l1;0.991;1.0
11;1;l1;0.981;1.0
11;2;l1;0.969;1.0
11;3;l1;0.964;0.667
11;4;l1;0.982;0.333
11;5;l1;1.0;0.333
11;6;l1;0.991;0.333
11;7;l1;1.0;0.333
11;8;l1;0.952;0.333
11;9;l1;1.0;0.333
12;0;l1;1.0;1.0
12;1;l1;0.96;1.0
12;2;l1;0.973;1.0
12;3;l1;1.0;1.0
12;4;l1;0.906;1.0
12;5;l1;0.979;0.667
12;6;l1;0.981;0.833
12;7;l1;0.991;0.667
12;8;l1;0.951;0.5
12;9;l1;0.946;0.333
13;0;l1;1.0;1.0
13;1;l1;1.0;1.0
13;2;l1;0.973;1.0
13;3;l1;1.0;0.833
13;4;l1;0.973;0.833
13;5;l1;1.0;1.0
13;6;l1;0.991;1.0
13;7;l1;0.99;0.833
13;8;l1;0.991;0.667
13;9;l1;1.0;0.833
14;0;l1;0.902;1.0
14;1;l1;1.0;0.667
14;2;l1;0.905;0.667
14;3;l1;0.969;0.333
14;4;l1;1.0;0.333
14;5;l1;1.0;0.333
14;6;l1;1.0;0.333
14;7;l1;1.0;0.333
14;8;l1;0.93;0.333
14;9;l1;0.955;0.167
15;0;l1;1.0;1.0
15;1;l1;1.0;1.0
15;2;l1;0.868;1.0
15;3;l1;0.973;0.833
15;4;l1;1.0;0.833
15;5;l1;0.975;0.833
15;6;l1;0.923;0.667
15;7;l1;0.955;0.333
15;8;l1;0.952;0.5
15;9;l1;1.0;0.5
16;0;l1;0.991;1.0
16;1;l2;0.947;0.833
16;2;l2;0.956;1.0
16;3;l2;0.821;1.0
16;4;l1;0.924;0.667
16;5;l1;1.0;0.167
16;6;l1;0.982;0.167
16;7;l1;0.945;0.167
16;8;l1;0.973;0.167
16;9;l1;0.982;0.333
17;0;l1;1.0;1.0
17;1;l2;1.0;1.0
17;2;l2;0.461;1.0
17;3;l2;0.585;0.667
17;4;l1;0.76;0.5
17;5;l1;0.893;0.667
17;6;l1;0.779;0.167
17;7;l1;1.0;0.333
17;8;l1;0.969;0.333
17;9;l1;0.525;0.333
18;0;l1;0.973;1.0
18;1;l2;0.799;1.0
18;2;l2;0.385;0.333
18;3;l2;0.81;0.167
18;4;l1;0.931;0.0
18;5;l1;0.955;0.0
18;6;l1;0.791;0.0
18;7;l1;0.904;0.167
18;8;l1;1.0;0.0
18;9;l1;1.0;0.0
19;0;l1;0.982;1.0
19;1;l2;0.973;0.667
19;2;l2;0.946;0.833
19;3;l2;0.926;1.0
19;4;l1;0.981;0.5
19;5;l1;0.955;0.667
19;6;l1;0.973;0.5
19;7;l1;0.991;0.333
19;8;l1;1.0;0.333
19;9;l1;0.943;0.333
20;0;l1;0.973;1.0
20;1;l2;0.973;1.0
20;2;l2;1.0;1.0
20;3;l2;1.0;1.0
20;4;l1;1.0;1.0
20;5;l1;1.0;1.0
20;6;l1;0.991;1.0
20;7;l1;0.97;1.0
20;8;l1;0.926;0.5
20;9;l1;1.0;0.5
21;0;l1;0.933;1.0
21;1;l2;0.963;0.5
21;2;l2;1.0;0.167
21;3;l2;0.99;0.167
21;4;l1;0.969;0.0
21;5;l1;0.951;0.167
21;6;l1;0.894;0.167
21;7;l1;1.0;0.167
21;8;l1;0.939;0.167
21;9;l1;1.0;0.0
22;0;l1;0.991;1.0
22;1;l2;0.924;0.833
22;2;l2;0.847;0.0
22;3;l2;0.85;0.5
22;4;l1;0.943;0.333
22;5;l1;0.964;0.5
22;6;l1;0.96;0.333
22;7;l1;0.979;0.333
22;8;l1;0.979;0.5
22;9;l1;1.0;0.333
23;0;l1;0.99;1.0
23;1;l2;0.979;1.0
23;2;l2;0.968;1.0
23;3;l2;0.876;0.833
23;4;l1;0.982;0.167
23;5;l1;1.0;0.167
23;6;l1;1.0;0.167
23;7;l1;1.0;0.167
23;8;l1;1.0;0.167
23;9;l1;0.973;0.167
24;0;l1;1.0;1.0
24;1;l2;0.969;1.0
24;2;l2;0.939;1.0
24;3;l2;0.893;1.0
24;4;l1;0.991;0.333
24;5;l1;0.982;0.333
24;6;l1;1.0;0.167
24;7;l1;1.0;0.167
24;8;l1;1.0;0.167
24;9;l1;1.0;0.167
25;0;l1;0.969;1.0
25;1;l2;0.893;1.0
25;2;l2;0.93;0.333
25;3;l2;0.921;0.167
25;4;l1;0.915;0.667
25;5;l1;0.943;0.333
25;6;l1;1.0;0.0
25;7;l1;1.0;0.0
25;8;l1;1.0;0.0
25;9;l1;1.0;0.0
26;0;l1;1.0;1.0
26;1;l2;0.973;1.0
26;2;l2;1.0;1.0
26;3;l2;0.973;1.0
26;4;l1;1.0;1.0
26;5;l1;1.0;1.0
26;6;l1;1.0;1.0
26;7;l1;1.0;1.0
26;8;l1;1.0;1.0
26;9;l1;0.99;1.0
27;0;l1;0.981;1.0
27;1;l2;0.935;0.833
27;2;l2;0.972;0.0
27;3;l2;0.954;0.167
27;4;l1;1.0;0.0
27;5;l1;0.969;0.0
27;6;l1;1.0;0.0
27;7;l1;0.991;0.0
27;8;l1;0.933;0.0
27;9;l1;1.0;0.0
28;0;l1;0.789;1.0
28;1;l2;0.809;0.833
28;2;l2;0.853;0.333
28;3;l2;0.924;0.0
28;4;l1;0.982;0.167
28;5;l1;0.972;0.167
28;6;l1;0.973;0.0
28;7;l1;1.0;0.167
28;8;l1;0.982;0.167
28;9;l1;0.921;0.333
29;0;l1;0.964;1.0
29;1;l2;0.907;1.0
29;2;l2;0.924;0.5
29;3;l2;0.854;0.0
29;4;l1;0.897;0.333
29;5;l1;0.973;0.667
29;6;l1;0.964;0.667
29;7;l1;1.0;0.5
29;8;l1;0.982;0.5
29;9;l1;0.964;0.5
30;0;l1;0.991;1.0
30;1;l2;0.991;0.833
30;2;l2;0.874;1.0
30;3;l2;0.885;0.167
30;4;l1;0.887;0.5
30;5;l1;0.865;0.5
30;6;l1;0.816;0.333
30;7;l1;0.763;0.5
30;8;l1;0.88;0.167
30;9;l1;0.82;0.167
31;0;l1;1.0;1.0
31;1;l2;1.0;1.0
31;2;l2;0.963;1.0
31;3;l2;0.884;0.833
31;4;l2;0.882;0.333
31;5;l2;0.906;0.5
31;6;l2;0.932;0.5
31;7;l2;0.896;0.667
31;8;l2;0.892;0.5
31;9;l2;0.906;0.333
32;0;l1;0.991;1.0
32;1;l2;0.991;1.0
32;2;l2;1.0;1.0
32;3;l2;1.0;1.0
32;4;l2;0.942;1.0
32;5;l2;0.888;0.167
32;6;l2;0.862;0.167
32;7;l2;0.945;0.833
32;8;l2;0.857;0.5
32;9;l2;0.914;0.5
33;0;l1;1.0;1.0
33;1;l2;0.982;1.0
33;2;l2;0.973;1.0
33;3;l2;0.94;1.0
33;4;l2;0.899;1.0
33;5;l2;0.963;0.5
33;6;l2;1.0;0.5
33;7;l2;0.991;0.5
33;8;l2;0.946;0.333
33;9;l2;0.973;0.167
34;0;l1;1.0;1.0
34;1;l2;0.99;1.0
34;2;l2;0.942;1.0
34;3;l2;0.979;0.167
34;4;l2;0.443;0.167
34;5;l2;0.69;0.667
34;6;l2;0.856;0.667
34;7;l2;0.658;0.667
34;8;l2;0.751;0.833
34;9;l2;0.759;0.667
35;0;l1;1.0;1.0
35;1;l2;0.915;1.0
35;2;l2;0.973;0.167
35;3;l2;1.0;0.0
35;4;l2;0.969;0.0
35;5;l2;0.99;0.0
35;6;l2;0.99;0.0
35;7;l2;1.0;0.0
35;8;l2;1.0;0.0
35;9;l2;0.969;0.0
36;0;l1;1.0;1.0
36;1;l2;0.981;1.0
36;2;l2;0.887;1.0
36;3;l2;0.878;0.5
36;4;l2;1.0;0.0
36;5;l2;0.969;0.0
36;6;l2;1.0;0.167
36;7;l2;0.982;0.167
36;8;l2;0.967;0.167
36;9;l2;0.842;0.167
37;0;l1;1.0;1.0
37;1;l2;1.0;1.0
37;2;l2;0.874;1.0
37;3;l2;0.933;0.5
37;4;l2;0.838;0.833
37;5;l2;0.896;0.333
37;6;l2;0.897;0.333
37;7;l2;0.939;0.667
37;8;l2;0.902;0.833
37;9;l2;0.893;0.5
38;0;l1;1.0;1.0
38;1;l2;1.0;1.0
38;2;l2;0.946;1.0
38;3;l2;0.908;1.0
38;4;l2;0.972;0.167
38;5;l2;0.963;0.0
38;6;l2;0.896;0.333
38;7;l2;0.952;0.333
38;8;l2;1.0;0.5
38;9;l2;0.881;0.5
39;0;l1;1.0;1.0
39;1;l2;0.92;1.0
39;2;l2;0.961;0.667
39;3;l2;0.927;0.333
39;4;l2;0.902;0.167
39;5;l2;0.854;0.0
39;6;l2;0.865;0.5
39;7;l2;0.935;0.167
39;8;l2;0.935;0.167
39;9;l2;0.868;0.333
40;0;l1;1.0;1.0
40;1;l2;0.943;1.0
40;2;l2;0.911;1.0
40;3;l2;0.955;0.667
40;4;l2;0.897;0.833
40;5;l2;0.368;0.667
40;6;l2;0.979;0.167
40;7;l2;0.973;0.0
40;8;l2;1.0;0.167
40;9;l2;0.945;0.167
41;0;l1;1.0;1.0
41;1;l2;0.896;1.0
41;2;l2;0.906;0.5
41;3;l2;0.982;0.5
41;4;l2;0.97;0.333
41;5;l2;0.942;0.167
41;6;l2;0.99;0.333
41;7;l2;0.903;0.167
41;8;l2;0.979;0.333
41;9;l2;1.0;0.167
42;0;l1;0.99;1.0
42;1;l2;0.979;0.833
42;2;l2;0.951;1.0
42;3;l2;0.981;0.333
42;4;l2;0.961;0.667
42;5;l2;0.96;0.333
42;6;l2;0.972;0.333
42;7;l2;0.991;0.0
42;8;l2;1.0;0.0
42;9;l2;0.982;0.0
43;0;l1;0.982;1.0
43;1;l2;0.915;1.0
43;2;l2;0.943;0.5
43;3;l2;0.991;0.0
43;4;l2;0.876;0.0
43;5;l2;0.838;0.5
43;6;l2;0.933;0.667
43;7;l2;0.924;0.333
43;8;l2;0.923;0.5
43;9;l2;1.0;0.167
44;0;l1;0.99;1.0
44;1;l2;0.879;0.833
44;2;l2;0.869;0.667
44;3;l2;0.908;0.333
44;4;l2;0.915;0.5
44;5;l2;0.951;0.167
44;6;l2;0.951;0.167
44;7;l2;0.935;0.167
44;8;l2;0.952;0.167
44;9;l2;0.905;0.167
45;0;l1;1.0;1.0
45;1;l2;0.879;1.0
45;2;l2;0.919;0.333
45;3;l2;0.906;0.167
45;4;l2;0.92;0.0
45;5;l2;0.92;0.0
45;6;l2;0.964;0.167
45;7;l2;0.94;0.333
45;8;l2;0.955;0.167
45;9;l2;0.982;0.0
