From;to;rel_freq
1.0;1.0;0.76
1.0;0.667;0.05
1.0;0.833;0.15
1.0;0.0;0.01
1.0;0.5;0.03
1.0;0.333;0.01
0.667;0.667;0.25
0.667;0.167;0.19
0.667;0.333;0.25
0.667;0.833;0.13
0.667;0.5;0.19
0.167;0.167;0.68
0.167;0.333;0.18
0.167;0.0;0.15
0.833;1.0;0.19
0.833;0.833;0.5
0.833;0.5;0.06
0.833;0.167;0.06
0.833;0.667;0.19
0.5;0.5;0.43
0.5;0.333;0.38
0.5;0.0;0.05
0.5;0.667;0.1
0.5;0.167;0.05
0.333;0.333;0.58
0.333;0.0;0.08
0.333;0.5;0.19
0.333;0.167;0.11
0.333;0.667;0.03
0.0;0.0;0.86
0.0;0.167;0.14
