chain;generation;mvalue
16;0;0.5
16;1;0.5
16;2;0.5
16;3;0.5
16;4;0.2727272727272727
16;5;0.25
16;6;0.25
16;7;0.25
16;8;0.25
16;9;0.2727272727272727
16;10;0.2727272727272727
17;0;0.5
17;1;0.5
17;2;0.5
17;3;0.5
17;4;0.42857142857142855
17;5;0.4444444444444444
17;6;0.3333333333333333
17;7;0.16666666666666666
17;8;0.16666666666666666
17;9;0.16666666666666666
17;10;0.125
18;0;0.5
18;1;0.5454545454545454
18;2;0.25
18;3;0.23076923076923078
18;4;0.21428571428571427
18;5;0.21428571428571427
18;6;0.23076923076923078
18;7;0.25
18;8;0.25
18;9;0.25
18;10;0.25
19;0;0.5
19;1;0.5
19;2;0.5454545454545454
19;3;0.5
19;4;0.4166666666666667
19;5;0.4166666666666667
19;6;0.4166666666666667
19;7;0.3333333333333333
19;8;0.3333333333333333
19;9;0.3333333333333333
19;10;0.36363636363636365
20;0;0.5
20;1;0.5454545454545454
20;2;0.5
20;3;0.5
20;4;0.5
20;5;0.5
20;6;0.5
20;7;0.5
20;8;0.5
20;9;0.4166666666666667
20;10;0.4166666666666667
21;0;0.5
21;1;0.4166666666666667
21;2;0.3333333333333333
21;3;0.3333333333333333
21;4;0.25
21;5;0.2727272727272727
21;6;0.2727272727272727
21;7;0.2727272727272727
21;8;0.2727272727272727
21;9;0.25
21;10;0.25
22;0;0.5
22;1;0.5
22;2;0.25
22;3;0.25
22;4;0.3333333333333333
22;5;0.45454545454545453
22;6;0.36363636363636365
22;7;0.3
22;8;0.3
22;9;0.3
22;10;0.3
23;0;0.5
23;1;0.5
23;2;0.5
23;3;0.5
23;4;0.5454545454545454
23;5;0.5454545454545454
23;6;0.5454545454545454
23;7;0.5454545454545454
23;8;0.5454545454545454
23;9;0.5454545454545454
23;10;0.6
24;0;0.5
24;1;0.5
24;2;0.5
24;3;0.4166666666666667
24;4;0.3333333333333333
24;5;0.3333333333333333
24;6;0.3333333333333333
24;7;0.3333333333333333
24;8;0.3333333333333333
24;9;0.3333333333333333
24;10;0.3333333333333333
25;0;0.5
25;1;0.5454545454545454
25;2;0.36363636363636365
25;3;0.25
25;4;0.25
25;5;0.2727272727272727
25;6;0.25
25;7;0.25
25;8;0.25
25;9;0.25
25;10;0.25
26;0;0.5
26;1;0.5
26;2;0.5454545454545454
26;3;0.5454545454545454
26;4;0.5
26;5;0.5
26;6;0.5
26;7;0.5
26;8;0.5
26;9;0.5
26;10;0.5
27;0;0.5
27;1;0.5
27;2;0.3333333333333333
27;3;0.3333333333333333
27;4;0.23076923076923078
27;5;0.23076923076923078
27;6;0.23076923076923078
27;7;0.23076923076923078
27;8;0.23076923076923078
27;9;0.25
27;10;0.25
28;0;0.5
28;1;0.5454545454545454
28;2;0.4166666666666667
28;3;0.25
28;4;0.25
28;5;0.25
28;6;0.25
28;7;0.2727272727272727
28;8;0.2727272727272727
28;9;0.2727272727272727
28;10;0.3
29;0;0.5
29;1;0.5
29;2;0.5
29;3;0.3333333333333333
29;4;0.23076923076923078
29;5;0.36363636363636365
29;6;0.36363636363636365
29;7;0.3333333333333333
29;8;0.3333333333333333
29;9;0.3333333333333333
29;10;0.36363636363636365
30;0;0.5
30;1;0.5
30;2;0.5
30;3;0.5
30;4;0.4166666666666667
30;5;0.45454545454545453
30;6;0.36363636363636365
30;7;0.3
30;8;0.3
30;9;0.3333333333333333
30;10;0.25
