chain;generation;mvalue
31;0;0.0
31;1;0.0
31;2;0.0
31;3;0.0
31;4;0.125
31;5;0.0625
31;6;0.0625
31;7;0.0
31;8;0.3125
31;9;0.3125
31;10;0.0625
32;0;0.0
32;1;0.0625
32;2;0.0
32;3;0.0
32;4;0.0
32;5;0.0
32;6;0.125
32;7;0.125
32;8;0.125
32;9;0.25
32;10;0.0
33;0;0.0
33;1;0.0
33;2;0.125
33;3;0.0
33;4;0.0625
33;5;0.25
33;6;0.25
33;7;0.25
33;8;0.1875
33;9;0.125
33;10;0.125
34;0;0.0
34;1;0.0
34;2;0.0625
34;3;0.0
34;4;0.0625
34;5;0.3125
34;6;0.5
34;7;0.5
34;8;0.5
34;9;0.5
34;10;0.6875
35;0;0.0
35;1;0.0
35;2;0.0625
35;3;0.0
35;4;0.0
35;5;0.0
35;6;0.0
35;7;0.0
35;8;0.0
35;9;0.0
35;10;0.0
36;0;0.0
36;1;0.0
36;2;0.125
36;3;0.0
36;4;0.0
36;5;0.0
36;6;0.0625
36;7;0.0625
36;8;0.0625
36;9;0.125
36;10;0.3125
37;0;0.0
37;1;0.0
37;2;0.0
37;3;0.0625
37;4;0.0
37;5;0.0
37;6;0.125
37;7;0.125
37;8;0.1875
37;9;0.25
37;10;0.0625
38;0;0.0
38;1;0.0
38;2;0.0
38;3;0.125
38;4;0.0
38;5;0.0
38;6;0.0
38;7;0.125
38;8;0.1875
38;9;0.1875
38;10;0.375
39;0;0.0
39;1;0.0
39;2;0.0
39;3;0.0
39;4;0.0
39;5;0.0
39;6;0.1875
39;7;0.0625
39;8;0.25
39;9;0.0625
39;10;0.1875
40;0;0.0
40;1;0.0
40;2;0.1875
40;3;0.0625
40;4;0.125
40;5;0.0625
40;6;0.0625
40;7;0.0
40;8;0.0625
40;9;0.0625
40;10;0.3125
41;0;0.0
41;1;0.0
41;2;0.125
41;3;0.0
41;4;0.0
41;5;0.0
41;6;0.0625
41;7;0.125
41;8;0.125
41;9;0.0625
41;10;0.0625
42;0;0.0
42;1;0.0
42;2;0.0625
42;3;0.0
42;4;0.0
42;5;0.0
42;6;0.0
42;7;0.0625
42;8;0.0
42;9;0.0
42;10;0.0625
43;0;0.0
43;1;0.125
43;2;0.0
43;3;0.0
43;4;0.0
43;5;0.125
43;6;0.1875
43;7;0.125
43;8;0.0625
43;9;0.0625
43;10;0.0625
44;0;0.0
44;1;0.0
44;2;0.0
44;3;0.1875
44;4;0.25
44;5;0.0625
44;6;0.1875
44;7;0.1875
44;8;0.125
44;9;0.1875
44;10;0.1875
45;0;0.0
45;1;0.0
45;2;0.0625
45;3;0.0
45;4;0.0625
45;5;0.0
45;6;0.0625
45;7;0.125
45;8;0.0625
45;9;0.125
45;10;0.0
